id,address,match,matchtype,parsed,tigerlineid,side,statefp,countyfp,tract,block,Longitude,Latitude,matchsource
500.0,"5737  KANAN RD. STE 138, AGORA HILLS, CA, 91301",True,Non_Exact,"5737 KANAN RD, AGOURA HILLS, CA, 91301",142785875.0,L,6.0,37.0,800332.0,4017.0,-118.75672,34.15455,Census
621.0,"4935  MC CONNELL AVE  # 9, LOS ANGELES, CA, 90066",True,ROOFTOP,,,,,,,,-118.4238938,33.9828832,Google
501.0,"686  WOODLAKE DR, SACRAMENTO, CA, 95815",True,Exact,"686 WOODLAKE DR, SACRAMENTO, CA, 95815",133321403.0,R,6.0,67.0,6900.0,5012.0,-121.45116000000002,38.604991999999996,Census
622.0,"1035  PACIFIC AVE, SAN FRANCISCO, CA, 94133",True,Exact,"1035 PACIFIC AVE, SAN FRANCISCO, CA, 94133",192280755.0,L,6.0,75.0,10800.0,3000.0,-122.41226999999999,37.796215000000004,Census
502.0,"459  CERRITOS WAY, CATHEDRAL CITY, CA, 92234",True,Exact,"459 CERRITOS WAY, CATHEDRAL CTY, CA, 92234",194767792.0,R,6.0,65.0,940900.0,2002.0,-116.44697,33.777836,Census
623.0,"1827  VALLEJO ST, SAN FRANCISCO, CA, 94123",True,Exact,"1827 VALLEJO ST, SAN FRANCISCO, CA, 94123",642621316.0,L,6.0,75.0,13102.0,2000.0,-122.42738999999999,37.796203999999996,Census
503.0,"2700  MESQUITE AVE., PALM SPRINGS, CA, 92264",True,Non_Exact,"2700 E MESQUITE AVE, PALM SPRINGS, CA, 92264",608984518.0,L,6.0,65.0,940700.0,1020.0,-116.51610600000001,33.808662,Census
624.0,"82  SEA ISLAND DR., NEWPORT BEACH, CA, 92660",True,ROOFTOP,,,,,,,,-117.87168020000001,33.629445000000004,Google
504.0,"1520  DISCOVERY BAY BLVD SUITE 300, DISCOVERY BAY, CA, 94505",True,Exact,"1520 DISCOVERY BAY BLVD, DISCOVERY BAY, CA, 94505",192110776.0,L,6.0,13.0,304004.0,1000.0,-121.60223,37.900997,Census
625.0,"1294  DALTON STREET, TULARE, CA, 93274",True,Exact,"1294 DALTON ST, TULARE, CA, 93274",202824407.0,L,6.0,107.0,2904.0,1017.0,-119.321625,36.193478000000006,Census
505.0,"65  TRAVELAND LN., EAST IRVINE, CA, 92650",False,,,,,,,,,,,
626.0,"2505  PRIMROSE LANE, UPLAND, CA, 91786",True,Non_Exact,"2505 PRIMROSE LN, UPLAND, CA, 91784",144669031.0,L,6.0,71.0,804.0,2005.0,-117.66250600000001,34.15634,Census
506.0,"10  NUEVO, IRVINE, CA, 92612",True,Exact,"10 NUEVO, IRVINE, CA, 92612",144058724.0,R,6.0,59.0,62611.0,3008.0,-117.8341,33.660038,Census
627.0,"8747  SHASTA LILY WAY, ELK GROVE, CA, 95758",True,ROOFTOP,,,,,,,,-121.3799439,38.44300629999999,Google
507.0,"7983  DIANA LANE, DUBLIN, CA, 94568",True,Exact,"7983 DIANA LN, DUBLIN, CA, 94568",125016849.0,R,6.0,1.0,450400.0,2022.0,-121.92766599999999,37.71787,Census
628.0,"561  BUENA VISTA AVE, OXNARD, CA, 93030",True,Exact,"561 BUENA VISTA AVE, OXNARD, CA, 93030",110116661.0,R,6.0,111.0,9100.0,2001.0,-119.16269,34.196144,Census
508.0,", , , nan",True,ROOFTOP,,,,,,,,-84.389488,33.791638,Google
629.0,"1056  LORRAINE DR, REDDING, CA, 96002",True,Exact,"1056 LORRAINE DR, REDDING, CA, 96002",126673767.0,L,6.0,89.0,11209.0,1011.0,-122.35157,40.548744,Census
509.0,", YUBA CITY, CA, 95992",False,,,,,,,,,,,
630.0,", , , nan",True,ROOFTOP,,,,,,,,-84.389488,33.791638,Google
510.0,"30200  DEL ORO DR, LUCERNE VALLEY, CA, 92356",True,ROOFTOP,,,,,,,,-117.01102320000001,34.4595584,Google
631.0,"8692  LA MESA BLVD, LA MESA, CA, 92041",True,ROOFTOP,,,,,,,,-117.0101902,32.770088,Google
511.0,", SAN DIEGO, CA, 92112",False,,,,,,,,,,,
632.0,"6602  ALONDRA BL, PARAMOUNT, CA, 90723",True,Exact,"6602 ALONDRA BLVD, PARAMOUNT, CA, 90723",241248735.0,R,6.0,37.0,553802.0,3013.0,-118.1821,33.889103000000006,Census
512.0,"1257  TEMPLE STREET, LOS ANGELES, CA, 90026",True,Non_Exact,"1257 W TEMPLE ST, LOS ANGELES, CA, 90026",141616919.0,R,6.0,37.0,208000.0,1002.0,-118.25426999999999,34.066357,Census
633.0,"907  ALTADENA DR, ALTADENA, CA, 91001",True,Non_Exact,"907 E ALTADENA DR, ALTADENA, CA, 91001",142735437.0,L,6.0,37.0,460100.0,3009.0,-118.13115,34.190273,Census
513.0,"1503  RINGER LN, REDONDO BEACH, CA, 90278",True,GEOMETRIC_CENTER,,,,,,,,-118.36770770000001,33.8628783,Google
634.0,"1080  MAIN ST, ALTURAS, CA, 96101",True,Non_Exact,"1080 N MAIN ST, ALTURAS, CA, 96101",127077944.0,R,6.0,49.0,100.0,2054.0,-120.54256399999998,41.493507,Census
514.0,"12625  FREDERICK STREET STE 1-5 # 265, MORENO VALLEY, CA, 92553",True,ROOFTOP,,,,,,,,-117.26440359999998,33.936530499999996,Google
635.0,"6992  EL CAJON BLVD., SAN DIEGO, CA, 92115",True,ROOFTOP,,,,,,,,-117.04761119999999,32.7691371,Google
515.0,", DENAIR, CA, 95316",False,,,,,,,,,,,
636.0,"9030  NATIONAL BLVD, LOS ANGELES, CA, 90034",True,Exact,"9030 NATIONAL BLVD, LOS ANGELES, CA, 90034",141574807.0,L,6.0,37.0,269800.0,2005.0,-118.39233999999999,34.031279999999995,Census
