id,address,match,matchtype,parsed,tigerlineid,side,statefp,countyfp,tract,block,lon,lat
504,"1520  DISCOVERY BAY BLVD SUITE 300, DISCOVERY BAY, CA, 94505",True,Exact,"1520 DISCOVERY BAY BLVD, DISCOVERY BAY, CA, 94505",192110776,L,06,013,304004,1000,-121.60223,37.900997
625,"1294  DALTON STREET, TULARE, CA, 93274",True,Exact,"1294 DALTON ST, TULARE, CA, 93274",202824407,L,06,107,002904,1017,-119.321625,36.193478
505,"65  TRAVELAND LN., EAST IRVINE, CA, 92650",False,,,,,,,,,,
626,"2505  PRIMROSE LANE, UPLAND, CA, 91786",True,Non_Exact,"2505 PRIMROSE LN, UPLAND, CA, 91784",144669031,L,06,071,000804,2005,-117.662506,34.15634
506,"10  NUEVO, IRVINE, CA, 92612",True,Exact,"10 NUEVO, IRVINE, CA, 92612",144058724,R,06,059,062611,3008,-117.8341,33.660038
627,"8747  SHASTA LILY WAY, ELK GROVE, CA, 95758",False,,,,,,,,,,
507,"7983  DIANA LANE, DUBLIN, CA, 94568",True,Exact,"7983 DIANA LN, DUBLIN, CA, 94568",125016849,R,06,001,450400,2022,-121.927666,37.71787
628,"561  BUENA VISTA AVE, OXNARD, CA, 93030",True,Exact,"561 BUENA VISTA AVE, OXNARD, CA, 93030",110116661,R,06,111,009100,2001,-119.16269,34.196144
508,", , , nan",False,,,,,,,,,,
629,"1056  LORRAINE DR, REDDING, CA, 96002",True,Exact,"1056 LORRAINE DR, REDDING, CA, 96002",126673767,L,06,089,011209,1011,-122.35157,40.548744
509,", YUBA CITY, CA, 95992",False,,,,,,,,,,
630,", , , nan",False,,,,,,,,,,
510,"30200  DEL ORO DR, LUCERNE VALLEY, CA, 92356",False,,,,,,,,,,
631,"8692  LA MESA BLVD, LA MESA, CA, 92041",False,,,,,,,,,,
511,", SAN DIEGO, CA, 92112",False,,,,,,,,,,
632,"6602  ALONDRA BL, PARAMOUNT, CA, 90723",True,Exact,"6602 ALONDRA BLVD, PARAMOUNT, CA, 90723",241248735,R,06,037,553802,3013,-118.1821,33.889103
512,"1257  TEMPLE STREET, LOS ANGELES, CA, 90026",True,Non_Exact,"1257 W TEMPLE ST, LOS ANGELES, CA, 90026",141616919,R,06,037,208000,1002,-118.25427,34.066357
633,"907  ALTADENA DR, ALTADENA, CA, 91001",True,Non_Exact,"907 E ALTADENA DR, ALTADENA, CA, 91001",142735437,L,06,037,460100,3009,-118.13115,34.190273
513,"1503  RINGER LN, REDONDO BEACH, CA, 90278",False,,,,,,,,,,
634,"1080  MAIN ST, ALTURAS, CA, 96101",True,Non_Exact,"1080 N MAIN ST, ALTURAS, CA, 96101",127077944,R,06,049,000100,2054,-120.542564,41.493507
514,"12625  FREDERICK STREET STE 1-5 # 265, MORENO VALLEY, CA, 92553",False,,,,,,,,,,
635,"6992  EL CAJON BLVD., SAN DIEGO, CA, 92115",False,,,,,,,,,,
515,", DENAIR, CA, 95316",False,,,,,,,,,,
