id,address,match,matchtype,parsed,tigerlineid,side,statefp,countyfp,tract,block,lon,lat
538,"44-250  MONROE ST, INDIO, CA, 92201",Google,ROOFTOP,,,,,,,,-116.2335301,33.7277207
539,"1849  EL CIELO RD, PALM SPRINGS, CA, 92264",Google,ROOFTOP,,,,,,,,-116.5109577,33.8008363
419,", ARTOIS, CA, 95913",Google,APPROXIMATE,,,,,,,,-122.1938726,39.6196036
540,"2970  CALLE, ARANDAS PALM SPRINGS, CA, 92264",Google,ROOFTOP,,,,,,,,-116.4711206,33.7905304
662,"16451VANOWEN ST, VAN NUYS, CA, 91406",Google,ROOFTOP,,,,,,,,-118.4920404,34.1941869
543,"72000  MAGNESIA FALLS DR STE 3, RANCHO MIRAGE, CA, 92270",Google,ROOFTOP,,,,,,,,-116.4067306,33.7361814
302,"718  LA BREA AVE, INGLEWOOD, CA, 90302",Google,RANGE_INTERPOLATED,,,,,,,,-118.3521957,33.9544022
665,"1425  VETERAN'S MEMORIAL CIRCLE, YUBA CITY, CA, 95993",Google,ROOFTOP,,,,,,,,-121.6362425,39.1450472
666,"SUITE 128, VAN NESS/MCALLISTER SAN FRANCISCO, CA, 94102",Google,ROOFTOP,,,,,,,,-122.4207995,37.7786
425,"1341  LOS PADRES BLVD, SANTA CLARA, CA, 95050",Google,ROOFTOP,,,,,,,,-121.9645967,37.3497632
667,", SAN FRANCISCO, CA, 94102",Google,APPROXIMATE,,,,,,,,-122.4212424,37.7786871
547,", , , nan",Google,ROOFTOP,,,,,,,,-84.389488,33.791638
668,"VAN  NESS  RM. 126, SAN FRANCISCO, CA, 94102",Google,ROOFTOP,,,,,,,,-122.4191234,37.7782392
669,", , , nan",Google,ROOFTOP,,,,,,,,-84.389488,33.791638
307,"1501  LINCOLN, ANAHEIM, CA, 92805",Google,ROOFTOP,,,,,,,,-117.8975974,33.8395351
549,"161  OLD RANCH RD, PALM DESERT, CA, 92211",Google,ROOFTOP,,,,,,,,-116.3516026,33.7546574
550,", , , nan",Google,ROOFTOP,,,,,,,,-84.389488,33.791638
671,", , , nan",Google,ROOFTOP,,,,,,,,-84.389488,33.791638
551,"3575  CAHUENGA BLVD. STE 125, LOS ANGELES, CA, 90068",Google,ROOFTOP,,,,,,,,-118.3583789,34.1337247
672,", , , nan",Google,ROOFTOP,,,,,,,,-84.389488,33.791638
553,"28  211 DESERT PRINCESS DR, CATHEDRAL CITY, CA, 92234",Google,RANGE_INTERPOLATED,,,,,,,,-116.4809302,33.8375101
674,", , , nan",Google,ROOFTOP,,,,,,,,-84.389488,33.791638
312,"2801  ARTESIA BOULEVARD UNIT A, LONG BEACH, CA, 90805",Google,ROOFTOP,,,,,,,,-118.1597069,33.8749448
433,"4500  IMPERIAL HWY, HAWTHORNE, CA, 90304",Google,ROOFTOP,,,,,,,,-118.3549087,33.9305614
675,", , , nan",Google,ROOFTOP,,,,,,,,-84.389488,33.791638
555,"80  572, SANTA CARMEN INDIO, CA, 92203",Google,ROOFTOP,,,,,,,,-116.2586766,33.7546207
676,", , , nan",Google,ROOFTOP,,,,,,,,-84.389488,33.791638
556,"28-211  DESERT PRINCESS DR, CATHEDRAL CITY, CA, 92234",Google,RANGE_INTERPOLATED,,,,,,,,-116.4809302,33.8375101
677,", , , nan",Google,ROOFTOP,,,,,,,,-84.389488,33.791638
678,"3700  EL CAMINO REAL, SAN MATEO, CA, 94403",Google,RANGE_INTERPOLATED,,,,,,,,-122.2946789,37.5341799
316,"927  LAS TUNAS DR.  # B, SAN GABRIEL, CA, 91776",Google,ROOFTOP,,,,,,,,-118.0871202,34.1045345
680,"144  TAMMY WY, GRASS VALLEY, CA, 95945",Google,GEOMETRIC_CENTER,,,,,,,,-121.0524957,39.134922
681,", , , nan",Google,ROOFTOP,,,,,,,,-84.389488,33.791638
562,"67-437  LAKOTA COURT, CATHEDRAL CITY, CA, 92234",Google,ROOFTOP,,,,,,,,-116.4858565,33.8387218
683,", , , nan",Google,ROOFTOP,,,,,,,,-84.389488,33.791638
684,"414  VALENCIA AVE  # 304, BURBANK, CA, 91501",Google,ROOFTOP,,,,,,,,-118.2974414,34.1778961
564,"3030  LBJ FREEWAY SUITE 600, DALLAS, TX, 75234",Google,ROOFTOP,,,,,,,,-96.87580460000001,32.9112562
444,"1451  VENICE BLVD, LOS ANGELES, CA, 90008",Google,ROOFTOP,,,,,,,,-118.28562,34.044371
565,"3030  LBJ FRWY, DALLAS, TX, 75234",Google,ROOFTOP,,,,,,,,-96.87580460000001,32.9112562
566,"71-066  TAMARISK LN, RANCHO MIRAGE, CA, 92270",Google,ROOFTOP,,,,,,,,-116.4223859,33.7800324
