IMPAQ_ID,DBA Name,Address Line 1,Address Line 2,City,State,Zip,Latitude,Longitude,Full Address,matchsource,est_id,found_pic,Manual Result,name_update,addr_update,lat_update,lon_update,biz_status,DBA Name_update,Full Address_update,Latitude_update,Longitude_update,Coordinates,On Tribe Land,Miles to Nearest Tribe,Assoc Tribe,Assoc Res,Nearest Tribe,Nearest Res,ori_flg,Owner Name,Owner City,Owner State,Non-Corporate Owned,Niel_id,Address Line 1_update,City_update,State_update,Zip_update,County,County_update,SoS_record,entity,agent_name,store_address,agent_address,agent_city,agent_state,agent_zip
70,CONOCO,U.S. 160,,KAYENTA,AZ,86033,34.51117706,-114.3254395,"U.S. 160  KAYENTA, AZ 86033",Original,70.0,1.0,yes,Correct,Correct,Correct,Correct,Active,CONOCO,"U.S. 160 KAYENTA, AZ 86033",34.51117706,-114.3254395,POINT (-114.3254395 34.51117706),No,4.093818172,,,Chemehuevi,Chemehuevi Reservation,From Original List,,,,,,No changes,No changes,No changes,No changes,,MOHAVE,F00270049,CONOCO INC.,C T CORPORATION SYSTEM,"Address: 600 N DAIRY ASHFORD ***, HOUSTON, TX, 77079, USA",3225 N CENTRAL AVE PHOENIX AZ 85012 USA,PHOENIX,AZ,85012
71,CONOCO,BIA RTE. 4 & BIA RTE. 41,,PINON,AZ,86510,36.097988,-110.2168,"BIA RTE. 4 & BIA RTE. 41  PINON, AZ 86510",Original,71.0,,,Correct,Correct,Correct,Correct,Active,CONOCO,"BIA RTE. 4 & BIA RTE. 41 PINON, AZ 86510",36.097988,-110.2168,POINT (-110.2168 36.097988),Yes,0.0,Navajo Nation,Navajo Nation Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,NAVAJO,F00270049,CONOCO INC.,C T CORPORATION SYSTEM,"Address: 600 N DAIRY ASHFORD ***, HOUSTON, TX, 77079, USA",3225 N CENTRAL AVE PHOENIX AZ 85012 USA,PHOENIX,AZ,85012
78,GIANT,HWY. 160 & HWY. 163,,KAYENTA,AZ,86033,36.707734,-110.24727299999999,"HWY. 160 & HWY. 163  KAYENTA, AZ 86033",Original,78.0,,,Can't Validate,Can't Validate,Can't Validate,Can't Validate,Can't Validate,GIANT,"HWY. 160 & HWY. 163 KAYENTA, AZ 86033",36.707734,-110.24727299999999,POINT (-110.247273 36.707734),Yes,0.0,Navajo Nation,Navajo Nation Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,NAVAJO,L09475492,"GIANT, LLC",MICHAEL M CURTISS,"Address: % MICHAEL M CURTISS 1900 W CHANDLER #14, CHANDLER, AZ, 85224, USA",3920 E WALDON AVE PHOENIX AZ 85018 USA,PHOENIX,AZ,85018
90,H MARKET,506 N. CHIEF AVE.,,WHITERIVER,AZ,85941,33.838466,-109.964432,"506 N. CHIEF AVE.  WHITERIVER, AZ 85941",Original,90.0,,,Correct,Correct,Correct,Correct,Active,H MARKET,"506 N. CHIEF AVE. WHITERIVER, AZ 85941",33.838466,-109.964432,POINT (-109.964432 33.838466),Yes,0.0,Fort Apache,Fort Apache Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,NAVAJO,,,,,,,,
95,HOPI TRAVEL PLAZA,I-40 EXIT 292,,HOLBROOK,AZ,86025,34.974003,-110.09013,"I-40 EXIT 292  HOLBROOK, AZ 86025",Original,95.0,,,Correct,Correct,Correct,Correct,Active,HOPI TRAVEL PLAZA,"I-40 EXIT 292 HOLBROOK, AZ 86025",34.974003,-110.09013,POINT (-110.09013 34.974003),No,12.83425309,,,Navajo Nation,Navajo Nation Reservation,From Original List,,,,,,No changes,No changes,No changes,No changes,,NAVAJO,L10337770,HOPI TRAVEL PLAZA LLC,OSBORN MALEDON PA,"Address: PO BOX 123, KYKOTSMOVI, AZ, 86039, USA",2929 N CENTRAL AVE # 2100 PHOENIX AZ 85012 USA,PHOENIX,AZ,85012
96,HUALAPAI KWIK STOP,2500 HUALAPI MTN. RD.,,KINGMAN,AZ,86401,35.191274,-114.019826,"2500 HUALAPI MTN. RD.  KINGMAN, AZ 86401",Original,96.0,,,Correct,Correct,Correct,Correct,Active,HUALAPAI KWIK STOP,"2500 HUALAPI MTN. RD. KINGMAN, AZ 86401",35.191274,-114.019826,POINT (-114.019826 35.191274),No,25.6526264,,,Hualapai,Hualapai Off-Reservation Trust Land,From Original List,,,,,,No changes,No changes,No changes,No changes,,MOHAVE,,,,,,,,
97,HUBBELL TRADING POST,HWY. 264,,GANADO,AZ,86505,35.708965,-109.54173,"HWY. 264  GANADO, AZ 86505",Original,97.0,,,Correct,Correct,Correct,Correct,Active,HUBBELL TRADING POST,"HWY. 264 GANADO, AZ 86505",35.708965,-109.54173,POINT (-109.54173 35.708965),Yes,0.0,Navajo Nation,Navajo Nation Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,APACHE,02261435,"FRIENDS OF HUBBELL TRADING POST NATIONAL HISTORIC SITE, INC.",FRANK L KOHLER,"Address: 8191 E. Mountain Spring Rd, SCOTTSDALE, AZ, 85255, USA",8191 E. MOUNTAIN SPRING RD SCOTTSDALE AZ 85255 USA,SCOTTSDALE,AZ,85255
98,INDIAN SMOKE SHOP,117 W. RIVERSIDE DR.,,PARKER,AZ,85344,34.154339,-114.2799,"117 W. RIVERSIDE DR.  PARKER, AZ 85344",Original,98.0,,,Correct,Correct,Correct,Correct,Active,INDIAN SMOKE SHOP,"117 W. RIVERSIDE DR. PARKER, AZ 85344",34.154339,-114.2799,POINT (-114.2799 34.154339),Yes,0.0,Colorado River,Colorado River Indian Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,LA PAZ,,,,,,,,
102,KAIBETO MARKET,1 MILE SOUTH ON HWY. 98,,KAIBETO,AZ,86053,36.585976,-111.09198,"1 MILE SOUTH ON HWY. 98  KAIBETO, AZ 86053",Original,102.0,,,Correct,"1 mile South Highway 98, Kaibito, AZ 86053, USA",36.5859754,-111.0919828,Active,KAIBETO MARKET,"1 mile South Highway 98, Kaibito, AZ 86053, USA",36.585975399999995,-111.0919828,POINT (-111.0919828 36.5859754),Yes,0.0,Navajo Nation,Navajo Nation Reservation,,,From Original List,,,,,,1 MILE SOUTH HIGHWAY 98,KAIBITO,AZ,86053,,COCONINO,L14637210,"KAIBETO MARKET, LLC",LISA HARRIS,"Address: PO BOX 1410, KAIBETO, AZ, 86053, USA",50 YARDS N OF KAIBETO MARKET KAIBETO AZ 86053 USA,OF KAIBETO MARKET KAIBETO,AZ,86053
108,MOBIL MART,10420 S. HARBOR AVE.,,MOHAVE VALLEY,AZ,86440,34.855053999999996,-114.606775,"10420 S. HARBOR AVE.  MOHAVE VALLEY, AZ 86440",Original,108.0,,,Correct,Correct,Correct,Correct,Active,MOBIL MART,"10420 S. HARBOR AVE. MOHAVE VALLEY, AZ 86440",34.855053999999996,-114.606775,POINT (-114.606775 34.855054),No,0.46921370799999995,,,Fort Mojave,Fort Mojave Off-Reservation Trust Land,From Original List,,,,,,No changes,No changes,No changes,No changes,,MOHAVE,,,,,,,,
114,PAINTED DESERT TRADING COMPANY,465 HWY. 89,,CAMERON,AZ,86020,35.874863,-111.4136,"465 HWY. 89  CAMERON, AZ 86020",Original,114.0,,,Correct,"8465 US-89, Cameron, AZ 86020, USA",35.8540888,-111.4247976,Active,PAINTED DESERT TRADING COMPANY,"8465 US-89, Cameron, AZ 86020, USA",35.8540888,-111.4247976,POINT (-111.4247976 35.8540888),Yes,0.0,Navajo Nation,Navajo Nation Reservation,,,From Original List,,,,,,8465 US-89,CAMERON,AZ,86020,,COCONINO,10781474,"PAINTED DESERT TRADING COMPANY, INC.",JANET E SHIPLEY,"Address: 18 N SAN FRANCISCO, FLAGSTAFF, AZ, 86001, USA",18 N SAN FRANCISCO FLAGSTAFF AZ 86001 USA,SAN FRANCISCO FLAGSTAFF,AZ,86001
116,PIC N RUN,7970 LEUPP RD,,LEUPP,AZ,86035,35.295355,-111.00586799999999,"7970 LEUPP RD  LEUPP, AZ 86035",Original,116.0,,,Correct,Correct,Correct,Correct,Active,PIC N RUN,"7970 LEUPP RD LEUPP, AZ 86035",35.295355,-111.00586799999999,POINT (-111.005868 35.295355),Yes,0.0,Navajo Nation,Navajo Nation Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,COCONINO,,,,,,,,
123,ROUGH ROCK TRADING POST,HWY. 59,,ROUGH ROCK,AZ,86503,36.413646,-109.8716963,"HWY. 59  ROUGH ROCK, AZ 86503",Google,123.0,,,Correct,Correct,Correct,Correct,Active,ROUGH ROCK TRADING POST,"HWY. 59 ROUGH ROCK, AZ 86503",36.413646,-109.8716963,POINT (-109.8716963 36.413646),Yes,0.0,Navajo Nation,Navajo Nation Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,APACHE,L11015713,ROUGH ROCK TRADING POST LLC,BONNIE JACKSON,"Address: ROUGH ROCK TRADING POST HWY 59G, CHINLE, AZ, 86503, USA",ROUGH ROCK TRADING POST HWY 59G CHINLE AZ 86503 USA,CHINLE,AZ,86503
127,SHONTO TRADING POST,101 SHONTO CANYON DR.,,SHONTO,AZ,86054,36.593253999999995,-110.64262,"101 SHONTO CANYON DR.  SHONTO, AZ 86054",Original,127.0,,,Correct,Correct,Correct,Correct,Active,SHONTO TRADING POST,"101 SHONTO CANYON DR. SHONTO, AZ 86054",36.593253999999995,-110.64262,POINT (-110.64262 36.59325399999999),Yes,0.0,Navajo Nation,Navajo Nation Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,NAVAJO,L17445872,"SHONTO TRADING POST, LLC",CAROLENE G EKIS,"Address: PO BOX 7711, SHONTO, AZ, 86054, USA",22 SO LAKE POWELL BLVD PAGE AZ 86040 USA,PAGE,AZ,86040
130,SPEEDY'S,JCT. HWY. 160 & 163,,KAYENTA,AZ,86033,36.706362799999994,-110.24807890000001,"JCT. HWY. 160 & 163  KAYENTA, AZ 86033",Google,130.0,,,Can't Validate,Can't Validate,Can't Validate,Can't Validate,Can't Validate,SPEEDY'S,"JCT. HWY. 160 & 163 KAYENTA, AZ 86033",36.706362799999994,-110.24807890000001,POINT (-110.2480789 36.70636279999999),Yes,0.0,Navajo Nation,Navajo Nation Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,NAVAJO,,,,,,,,
131,SPEEDY'S,35900 HWY. I-40 EXIT 359,,LUPTON,AZ,86508,35.3629829,-109.04824709999998,"35900 HWY. I-40 EXIT 359  LUPTON, AZ 86508",Google,131.0,,,Correct,"I-40 & EXIT 359 Grant Rd, Lupton, AZ 86508, USA",35.3629829,-109.0482471,Active,SPEEDY'S,"I-40 & EXIT 359 Grant Rd, Lupton, AZ 86508, USA",35.3629829,-109.04824709999998,POINT (-109.0482471 35.3629829),Yes,0.0,Navajo Nation,Navajo Nation Reservation,,,From Original List,,,,,,I-40 & EXIT 359 GRANT RD,LUPTON,AZ,86508,,APACHE,,,,,,,,
134,STATELINE GENERAL STORE,I-40 GRANTS RD.,,LUPTON,AZ,86508,35.363434000000005,-109.04786999999999,"I-40 GRANTS RD.  LUPTON, AZ 86508",Original,134.0,,,Correct,Correct,Correct,Correct,Active,STATELINE GENERAL STORE,"I-40 GRANTS RD. LUPTON, AZ 86508",35.363434000000005,-109.04786999999999,POINT (-109.04787 35.36343400000001),Yes,0.0,Navajo Nation,Navajo Nation Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,APACHE,07177369,"STATELINE GENERAL STORE, INC.",JULIO VIGIL,"Address: I 40 GRANTS ROAD EXIT EXIT 359, LUPTON, AZ, 86508, USA",I 40 GRANTS RD EXIT EXIT 359 LUPTON AZ 86508 USA,LUPTON,AZ,86508
138,SUPER STOP,10485 SOUTH BARRACKMAN ROAD,,MOHAVE VALLEY,AZ,86440,34.85243,-114.59778600000001,"10485 SOUTH BARRACKMAN ROAD  MOHAVE VALLEY, AZ 86440",Census,138.0,,,Correct,Correct,Correct,Correct,Active,SUPER STOP,"10485 SOUTH BARRACKMAN ROAD MOHAVE VALLEY, AZ 86440",34.85243,-114.59778600000001,POINT (-114.597786 34.85243),No,0.000568872,,,Fort Mojave,Fort Mojave Reservation,From Original List,,,,,,No changes,No changes,No changes,No changes,,MOHAVE,06007590,"SUPER STOP, INC.",MARIE E FINN,"Address: PO BOX 6505, MOHAVE VALLEY, AZ, 86446, USA",PO BOX 6505 MOHAVE VALLEY AZ 86446 USA,MOHAVE VALLEY,AZ,86446
150,USA GAS,216 W. RIVERSIDE DR.,,PARKER,AZ,85344,34.15379,-114.281126,"216 W. RIVERSIDE DR.  PARKER, AZ 85344",Original,150.0,,,Correct,Correct,Correct,Correct,Active,USA GAS,"216 W. RIVERSIDE DR. PARKER, AZ 85344",34.15379,-114.281126,POINT (-114.281126 34.15379),Yes,0.0,Colorado River,Colorado River Indian Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,LA PAZ,,,,,,,,
