Unnamed: 0,IMPAQ_ID,REI,DBA Name,Address Line 1,Address Line 2,City,State,Zip,Latitude,Longitude,Full Address,matchsource,est_id,found_pic,Manual Result,name_update,addr_update,lat_update,lon_update,biz_status,DBA Name_update,Full Address_update,Latitude_update,Longitude_update,Coordinates,On Tribe Land,Miles to Nearest Tribe,Assoc Tribe,Assoc Res,Nearest Tribe,Nearest Res,ori_flg,Owner Name,Owner City,Owner State,Non-Corporate Owned,Niel_id,Address Line 1_update,City_update,State_update,Zip_update,County,County_update,SoS_record,entity,agent_name,agent_address,agent_city,agent_state,agent_zip
1387,1387,OK746666,7 CLANS TRAVEL PLAZA,12901 N. HWY. 77,,NEWKIRK,OK,74647,36.986199,-97.041625,"12901 N. HWY. 77  NEWKIRK, OK 74647",Original,1387.0,,,Correct,"12901 US-77, Newkirk, OK 74647, USA",36.984497,-97.0420055,Active,7 CLANS TRAVEL PLAZA,"12901 US-77, Newkirk, OK 74647, USA",36.984497,-97.0420055,POINT (-97.0420055 36.984497),No,11.48000111,,,Kaw/Ponca,Kaw/Ponca joint-use OTSA,From Original List,,,,,,12901 US-77,NEWKIRK,OK,74647,,KAY,,,,,,,
1388,1388,OK746667,HIGH WINDS CASINO,61475 E. 100 RD.,,MIAMI,OK,74354,36.871183,-94.778744,"61475 E. 100 RD.  MIAMI, OK 74354",Original,1388.0,,,Correct,Correct,Correct,Correct,Active,HIGH WINDS CASINO,"61475 E. 100 RD. MIAMI, OK 74354",36.871183,-94.77874399999999,POINT (-94.77874399999999 36.871183),No,6.478834367,,,Miami/Peoria,Miami/Peoria joint-use OTSA,From Original List,,,,,,No changes,No changes,No changes,No changes,,OTTAWA,,,,,,,
1389,1389,OK746677,PAWNEE TRADING POST & CASINO,291 AGENCY RD.,,PAWNEE,OK,74058,36.338025,-96.793861,"291 AGENCY RD.  PAWNEE, OK 74058",Original,1389.0,,,Correct,Correct,Correct,Correct,Active,PAWNEE TRADING POST & CASINO,"291 AGENCY RD. PAWNEE, OK 74058",36.338025,-96.79386099999999,POINT (-96.79386099999999 36.338025),No,8.474684237,,,Osage,Osage Reservation,From Original List,,,,,,No changes,No changes,No changes,No changes,,PAWNEE,,,,,,,
1390,1390,OK746678,PAWNEE TRAVEL PLAZA,54251 S. 349 RD.,,PAWNEE,OK,74058,36.227361,-96.784241,"54251 S. 349 RD.  PAWNEE, OK 74058",Original,1390.0,1.0,yes,Correct,Correct,Correct,Correct,Active,PAWNEE TRAVEL PLAZA,"54251 S. 349 RD. PAWNEE, OK 74058",36.227361,-96.78424100000001,POINT (-96.78424100000001 36.227361),No,14.24600047,,,Osage,Osage Reservation,From Original List,,,,,,No changes,No changes,No changes,No changes,,PAWNEE,,,,,,,
1391,1391,OK746687,PONCA NATION SMOKE SHOP,116 WHITE EAGLE DR.,,PONCA CITY,OK,74601,36.603659,-97.082766,"116 WHITE EAGLE DR.  PONCA CITY, OK 74601",Original,1391.0,,,Correct,"20 White Eagle Dr, Ponca City, OK 74601, USA",36.6029619,-97.0825396,Active,PONCA NATION SMOKE SHOP,"20 White Eagle Dr, Ponca City, OK 74601, USA",36.602961900000004,-97.08253959999999,POINT (-97.08253959999999 36.6029619),No,1.647871649,,,Osage,Osage Reservation,From Original List,,,,,,20 WHITE EAGLE DR,PONCA CITY,OK,74601,,KAY,,,,,,,
1392,1392,OK746703,CHOCTAW NATION TRAVEL PLAZA IDABEL,1455 SE WA ST.,,IDABEL,OK,74745,33.895568,-94.809492,"1455 SE WA ST.  IDABEL, OK 74745",Original,1392.0,1.0,yes,CHOCTAW NATION INDIAN SMOKESHOP,"1455 SE Washington St, Idabel, OK 74745, USA",33.8961535,-94.7913926,Active,CHOCTAW NATION INDIAN SMOKESHOP,"1455 SE Washington St, Idabel, OK 74745, USA",33.8961535,-94.7913926,POINT (-94.79139259999999 33.8961535),No,134.03374540000002,,,Creek/Seminole,Creek/Seminole joint-use OTSA,From Original List,,,,,,1455 SE WASHINGTON ST,IDABEL,OK,74745,,MCCURTAIN,,,,,,,
1393,1393,OK746704,CHOCTAW NATION TRAVEL PLAZA POTEAU,4105 NORTH BROADWAY ST.,,POTEAU,OK,74953,35.097481,-94.632516,"4105 NORTH BROADWAY ST.  POTEAU, OK 74953",Original,1393.0,,,Correct,Correct,Correct,Correct,Active,CHOCTAW NATION TRAVEL PLAZA POTEAU,"4105 NORTH BROADWAY ST. POTEAU, OK 74953",35.097481,-94.63251600000001,POINT (-94.63251600000001 35.097481),No,113.2313364,,,Osage,Osage Reservation,From Original List,,,,,,No changes,No changes,No changes,No changes,,LE FLORE,,,,,,,
1394,1394,OK746705,CHOCTAW NATION TRAVEL PLAZA STRINGTOWN,895 NORTH HIGHWAY 69,,STRINGTOWN,OK,74569,34.452928,-96.070547,"895 NORTH HIGHWAY 69  STRINGTOWN, OK 74569",Original,1394.0,1.0,yes,CHOCTAW TRAVEL PLAZA-STRINGTOWN,"897 US-69, Atoka, OK 74525, USA",34.4896829,-96.0497104,Active,CHOCTAW TRAVEL PLAZA-STRINGTOWN,"897 US-69, Atoka, OK 74525, USA",34.4896829,-96.04971040000001,POINT (-96.0497104 34.4896829),No,48.24293255,,,Creek/Seminole,Creek/Seminole joint-use OTSA,From Original List,,,,,,897 US-69,ATOKA,OK,74525,,ATOKA,,,,,,,
1395,1395,OK746706,CHOCTAW NATIONTRAVEL PLAZA WILBURTON,902 W MAIN ST,,WILBURTON,OK,74578,34.912956,-95.322331,"902 W MAIN ST  WILBURTON, OK 74578",Original,1395.0,,,Correct,Correct,Correct,Correct,Active,CHOCTAW NATIONTRAVEL PLAZA WILBURTON,"902 W MAIN ST WILBURTON, OK 74578",34.912956,-95.322331,POINT (-95.32233100000001 34.912956),No,74.29310901,,,Creek/Seminole,Creek/Seminole joint-use OTSA,From Original List,,,,,,No changes,No changes,No changes,No changes,,LATIMER,,,,,,,
1396,1396,OK746707,CHOCTAW TRAVEL PLAZA DURANT WEST,4305 CHOCTAW RD,,CALERA,OK,74730,33.954128999999995,-96.418399,"4305 CHOCTAW RD  CALERA, OK 74730",Original,1396.0,,,Correct,Correct,Correct,Correct,Active,CHOCTAW TRAVEL PLAZA DURANT WEST,"4305 CHOCTAW RD CALERA, OK 74730",33.954128999999995,-96.418399,POINT (-96.41839899999999 33.95412899999999),No,75.89804138,,,Creek/Seminole,Creek/Seminole joint-use OTSA,From Original List,,,,,,No changes,No changes,No changes,No changes,,BRYAN,,,,,,,
1397,1397,OK746708,CHOCTAW TRAVEL PLAZA POCOLA,3402 SERVICE RD.,,POCOLA,OK,74902,35.29167,-94.435434,"3402 SERVICE RD.  POCOLA, OK 74902",Original,1397.0,,,Correct,Correct,Correct,Correct,Active,CHOCTAW TRAVEL PLAZA POCOLA,"3402 SERVICE RD. POCOLA, OK 74902",35.29167,-94.435434,POINT (-94.435434 35.29167),No,107.71212150000001,,,Miami/Peoria,Miami/Peoria joint-use OTSA,From Original List,,,,,,No changes,No changes,No changes,No changes,,LE FLORE,,,,,,,
1398,1398,OK746709,CHOCTAW NATION TRAVEL PLAZA MCALESTER,1640 SOUTH GEORGE NIGH EXPRESSWAY,,MCALESTER,OK,74501,34.886826,-95.786412,"1640 SOUTH GEORGE NIGH EXPRESSWAY  MCALESTER, OK 74501",Original,1398.0,,,Correct,Correct,Correct,Correct,Active,CHOCTAW NATION TRAVEL PLAZA MCALESTER,"1640 SOUTH GEORGE NIGH EXPRESSWAY MCALESTER, OK 74501",34.886826,-95.786412,POINT (-95.786412 34.886826),No,45.32504643,,,Creek/Seminole,Creek/Seminole joint-use OTSA,From Original List,,,,,,No changes,No changes,No changes,No changes,,PITTSBURG,,,,,,,
1399,1399,OK746710,MODOC SMOKE SHOP,515 G ST.  NW,,MIAMI,OK,74354,36.882422,-94.885354,"515 G ST.  NW  MIAMI, OK 74354",Original,1399.0,,,MODOC SMOKESHOP,Correct,Correct,Correct,Closed,MODOC SMOKESHOP,"515 G ST.  NW MIAMI, OK 74354",36.882422,-94.885354,POINT (-94.88535400000001 36.882422),Yes,0.0,Miami/Peoria,Miami/Peoria joint-use OTSA,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,OTTAWA,,,,,,,
1400,1400,OK746711,SNAK-ATAK,2215 E STEVE OWENS BLVD,,MIAMI,OK,74354,36.871137,-94.853848,"2215 E STEVE OWENS BLVD  MIAMI, OK 74354",Original,1400.0,,,Correct,Correct,Correct,Correct,Active,SNAK-ATAK,"2215 E STEVE OWENS BLVD MIAMI, OK 74354",36.871137,-94.853848,POINT (-94.853848 36.871137),No,1.655210853,,,Miami/Peoria,Miami/Peoria joint-use OTSA,From Original List,,,,,,No changes,No changes,No changes,No changes,,OTTAWA,3500582921,"SNAK-ATAK, L.L.C.",R BLAKE ATKINS,,TULSA,OK,
1401,1401,OK746712,THE STABLES,530 H STREET SOUTHEAST,,MIAMI,OK,74354,36.86759,-94.86898,"530 H STREET SOUTHEAST  MIAMI, OK 74354",Original,1401.0,1.0,yes,THE STABLES CASINO,Correct,Correct,Correct,Active,THE STABLES CASINO,"530 H STREET SOUTHEAST MIAMI, OK 74354",36.86759,-94.86898000000001,POINT (-94.86898000000001 36.86759),No,0.994105832,,,Miami/Peoria,Miami/Peoria joint-use OTSA,From Original List,,,,,,No changes,No changes,No changes,No changes,,OTTAWA,,,,,,,
1402,1402,OK746713,BRISTOW INDIAN COMMUNITY CENTER,710 SOUTH MAIN ST,,BRISTOW,OK,74010,35.827274,-96.391055,"710 SOUTH MAIN ST  BRISTOW, OK 74010",Original,1402.0,,,Can't Validate,Can't Validate,Can't Validate,Can't Validate,Can't Validate,BRISTOW INDIAN COMMUNITY CENTER,"710 SOUTH MAIN ST BRISTOW, OK 74010",35.827273999999996,-96.39105500000001,POINT (-96.39105500000001 35.827274),No,23.28876389,,,Osage,Osage Reservation,From Original List,,,,,,No changes,No changes,No changes,No changes,,CREEK,,,,,,,
