address,block,countyfp,lat,lon,match,matchtype,parsed,side,statefp,tigerlineid,tract,matchsource,Coordinates,On Tribe Land,Assoc Tribe,Assoc Res,FDA_match,id,FDA_dist_miles,FDA_coord,Niel_id,TDLinx Store Code,File Date,Store Status Indicator,bizname,Store Number,paddress1,pcity,pstate,pzip,Store Place Name,Store State FIPS Code ,Store County FIPS Code ,Store Country Name,Trade Channel Code,Sub-Channel Code,Number of Stores/Outlets Code,Chain Indicator,Area Code,Phone Number,Store Volume ,Weekly Volume (000s),Area of Selling Space ,Full Time Employee Equivalents,Number of Checkouts,TDLinx Account Code for the Owner/Company,Retail Family Code for the Owner/Company,Owner Name,Owner City,Owner State ,Owner State FIPS Code,Owner County FIPS Code,TDLinx Account Code for the Marketing Group ,Marketing Group Name,Non-Corporate Owned,paddress2,FDA_id
"15051 State Highway 172, Ignacio, CO, 81137",,,37.1283331,-107.6370233,TRUE,ROOFTOP,,,,,,Google,POINT (-107.6370233 37.1283331),TRUE,Southern Ute,Southern Ute Reservation,FALSE,,,GEOMETRYCOLLECTION EMPTY,1870810,1870810,20181116,O-Open Store,THRIFTWAY LIQUOR,,15051 STATE HIGHWAY 172,IGNACIO,CO,81137,Ignacio,8,67,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,970,5639456,"05-$2,000,001 to $4,000,000",40,2,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"602 W Central Blvd, Anadarko, OK, 73005",,,35.072122,-98.2521495,TRUE,ROOFTOP,,,,,,Google,POINT (-98.2521495 35.072122),TRUE,Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware,Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware joint-use OTSA,FALSE,,,GEOMETRYCOLLECTION EMPTY,655356,655356,20181116,O-Open Store,LOVELLS PHARMACY,,602 W CENTRAL BLVD,ANADARKO,OK,73005,Anadarko,40,15,USA,03-Drug,1-Rx Only and Small Indep,A-1 Store,I-Independent Store,405,2473348,"02-$500,001 to $1,000,000",10,1,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"127 Main St SW, Ronan, MT, 59864",4066,47,47.528725,-114.09904,TRUE,Exact,"127 MAIN ST SW, RONAN, MT, 59864",L,30,206910928,940500,Census,POINT (-114.09904 47.528725),TRUE,Flathead,Flathead Reservation,FALSE,,,GEOMETRYCOLLECTION EMPTY,1000415,1000415,20181116,O-Open Store,MONTANA AGENCY OUTLET,101,127 MAIN ST SW,RONAN,MT,59864,Ronan,30,47,USA,02-Liquor,2-Conventional Liquor,A-1 Store,C-Chain Store,406,6760381,"03-$1,000,001 to $1,500,000",20,3,0,0,999999,99999,Independent,,,,,176004,Montana Agency Outlet,Y,,
"510 W Highland Ave, Ponca City, OK, 74601",,,36.7094907,-97.0899765,TRUE,ROOFTOP,,,,,,Google,POINT (-97.08997650000001 36.7094907),TRUE,Kaw/Ponca,Kaw/Ponca joint-use OTSA,FALSE,,,GEOMETRYCOLLECTION EMPTY,1445466,1445466,20181116,O-Open Store,HIGHLAND SPIRITS,,510 W HIGHLAND AVE,PONCA CITY,OK,74601,Ponca City,40,71,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,580,7624095,"02-$500,001 to $1,000,000",10,3,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"8415 N Pima Rd Ste 125, Scottsdale, AZ, 85258",,,33.5573512,-111.8908603,TRUE,ROOFTOP,,,,,,Google,POINT (-111.8908603 33.55735120000001),TRUE,Salt River,Salt River Reservation,FALSE,,,GEOMETRYCOLLECTION EMPTY,7296843,7296843,20181116,O-Open Store,ALL CARE PHARMACY,,8415 N PIMA RD STE 125,SCOTTSDALE,AZ,85258,Scottsdale,4,13,USA,03-Drug,3-Conventional Drug,A-1 Store,I-Independent Store,480,2706700,"04-$1,500,001 to $2,000,000",35,1,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"107 W Sd Highway 46, Wagner, SD, 57380",1004,23,43.081642,-98.29431,TRUE,Exact,"107 STATE HWY 46, WAGNER, SD, 57380",L,46,624779703,940300,Census,POINT (-98.29431 43.081642),TRUE,Yankton,Yankton Reservation,FALSE,,,GEOMETRYCOLLECTION EMPTY,7282609,7282609,20181116,O-Open Store,SUPER FOODS LIQUOR,,107 W SD HIGHWAY 46,WAGNER,SD,57380,Wagner,46,23,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,605,3845477,"02-$500,001 to $1,000,000",10,2,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"614 N 1st St, Anadarko, OK, 73005",,,35.0823088,-98.2440183,TRUE,RANGE_INTERPOLATED,,,,,,Google,POINT (-98.24401829999999 35.0823088),TRUE,Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware,Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware joint-use OTSA,FALSE,,,GEOMETRYCOLLECTION EMPTY,1445443,1445443,20181116,O-Open Store,THE MARKET,,614 N 1ST ST,ANADARKO,OK,73005,Anadarko,40,15,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,405,2479144,"02-$500,001 to $1,000,000",10,2,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"13605 US Hwy 64, Dulce, NM, 87528",3015,39,36.93425,-106.98567,TRUE,Non_Exact,"13605 US HWY 64, DULCE, NM, 87528",R,35,143279652,941000,Census,POINT (-106.98567 36.93425),TRUE,Jicarilla Apache Nation,Jicarilla Apache Nation Reservation,FALSE,,,GEOMETRYCOLLECTION EMPTY,801796,801796,20181116,O-Open Store,APACHE HOUSE OF LIQUORS,,13605 US HWY 64,DULCE,NM,87528,Dulce,35,39,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,505,7593636,"05-$2,000,001 to $4,000,000",40,3,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"53 County Road 982, Arboles, CO, 81121",1131,7,37.0235,-107.41468,TRUE,Exact,"53 CO RD 982, ARBOLES, CO, 81121",L,8,127324702,940400,Census,POINT (-107.41468 37.0235),TRUE,Southern Ute,Southern Ute Reservation,FALSE,,,GEOMETRYCOLLECTION EMPTY,7423283,7423283,20181116,O-Open Store,PIEDRA PEAK GENERAL STORE,,53 COUNTY ROAD 982,ARBOLES,CO,81121,Arboles,8,7,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,,,"02-$500,001 to $1,000,000",15,1,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"3211 N 14th St, Ponca City, OK, 74601",,,36.7425683,-97.0667977,TRUE,ROOFTOP,,,,,,Google,POINT (-97.06679770000001 36.74256829999999),TRUE,Kaw/Ponca,Kaw/Ponca joint-use OTSA,FALSE,,,GEOMETRYCOLLECTION EMPTY,299680,299680,20181116,O-Open Store,OLD WEST LIQUORS,,3211 N 14TH ST,PONCA CITY,OK,74601,Ponca City,40,71,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,580,7659339,"02-$500,001 to $1,000,000",10,4,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"714 Kihekah Ave, Pawhuska, OK, 74056",2063,113,36.665627,-96.33907,TRUE,Exact,"714 KIHEKAH AVE, PAWHUSKA, OK, 74056",R,40,82347263,940002,Census,POINT (-96.33906999999999 36.665627),TRUE,Osage,Osage Reservation,FALSE,,,GEOMETRYCOLLECTION EMPTY,621502,621502,20181116,O-Open Store,WEIGANTS PHARMACY,,714 KIHEKAH AVE,PAWHUSKA,OK,74056,Pawhuska,40,113,USA,03-Drug,1-Rx Only and Small Indep,A-1 Store,I-Independent Store,918,2871317,"02-$500,001 to $1,000,000",15,9,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
