address,block,countyfp,lat,lon,match,matchtype,parsed,side,statefp,tigerlineid,tract,matchsource,Coordinates,On Tribe Land,Assoc Tribe,Assoc Res,FDA_match,id,FDA_dist_miles,FDA_coord,Niel_id,TDLinx Store Code,File Date,Store Status Indicator,bizname,Store Number,paddress1,pcity,pstate,pzip,Store Place Name,Store State FIPS Code ,Store County FIPS Code ,Store Country Name,Trade Channel Code,Sub-Channel Code,Number of Stores/Outlets Code,Chain Indicator,Area Code,Phone Number,Store Volume ,Weekly Volume (000s),Area of Selling Space ,Full Time Employee Equivalents,Number of Checkouts,TDLinx Account Code for the Owner/Company,Retail Family Code for the Owner/Company,Owner Name,Owner City,Owner State ,Owner State FIPS Code,Owner County FIPS Code,TDLinx Account Code for the Marketing Group ,Marketing Group Name,Non-Corporate Owned,paddress2,FDA_id
"9924 W F St, Worley, ID, 83876",,,47.4003071,-116.9214601,True,ROOFTOP,,,,,,Google,POINT (-116.9214601 47.4003071),True,Coeur d'Alene,Coeur d'Alene Reservation,False,,,GEOMETRYCOLLECTION EMPTY,7591713.0,7591713,20181116,O-Open Store,WORLEY LIQUOR STORE,,9924 W F ST,WORLEY,ID,83876,Worley,16,55,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,208.0,6861419.0,"02-$500,001 to $1,000,000",10,1,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"16281 State Highway 305 NE, Poulsbo, WA, 98370",,,47.7080256,-122.58308999999998,True,ROOFTOP,,,,,,Google,POINT (-122.58309 47.7080256),True,Port Madison,Port Madison Reservation,False,,,GEOMETRYCOLLECTION EMPTY,1616206.0,1616206,20181116,O-Open Store,SUQUAMISH LIQUOR STORE,,16281 STATE HIGHWAY 305 NE,POULSBO,WA,98370,Poulsbo,53,35,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,360.0,5984066.0,"05-$2,000,001 to $4,000,000",50,3,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"1910 N Main St, Miami, OK, 74354",2044.0,115.0,36.896812,-94.87749000000001,True,Non_Exact,"1910 N MAIN ST, MIAMI, OK, 74354",R,40.0,56288734.0,574300.0,Census,POINT (-94.87749000000001 36.896812),True,Miami/Peoria,Miami/Peoria joint-use OTSA,False,,,GEOMETRYCOLLECTION EMPTY,7274023.0,7274023,20181116,O-Open Store,EXPRESS RX,,1910 N MAIN ST,MIAMI,OK,74354,Miami,40,115,USA,03-Drug,1-Rx Only and Small Indep,A-1 Store,I-Independent Store,918.0,5424795.0,"02-$500,001 to $1,000,000",15,1,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"1796 Central Ave, Horton, KS, 66439",3019.0,13.0,39.672623,-95.527214,True,Exact,"1796 CENTRAL AVE, HORTON, KS, 66439",R,20.0,9771292.0,480800.0,Census,POINT (-95.527214 39.672623),True,Kickapoo (KS),Kickapoo (KS) Reservation,False,,,GEOMETRYCOLLECTION EMPTY,1000574.0,1000574,20181116,O-Open Store,NORTH END LIQUOR,,1796 CENTRAL AVE,HORTON,KS,66439,Horton,20,13,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,785.0,4862521.0,"01-$1 to $500,000",9,1,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"811 N Riverside Dr, Espanola, NM, 87532",,,36.00228660000001,-106.06277959999998,True,ROOFTOP,,,,,,Google,POINT (-106.0627796 36.00228660000001),True,Santa Clara,Santa Clara Pueblo,False,,,GEOMETRYCOLLECTION EMPTY,7304845.0,7304845,20181116,O-Open Store,EL REY DISCOUNT LIQUOR,,811 N RIVERSIDE DR,ESPANOLA,NM,87532,Espanola,35,39,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,505.0,7535141.0,"05-$2,000,001 to $4,000,000",40,3,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"63802 Us Highway 93, Ronan, MT, 59864",,,47.5199872,-114.09648419999999,True,ROOFTOP,,,,,,Google,POINT (-114.0964842 47.5199872),True,Flathead,Flathead Reservation,False,,,GEOMETRYCOLLECTION EMPTY,671611.0,671611,20181116,O-Open Store,UNITED DRUG R & R,735,63802 US HIGHWAY 93,RONAN,MT,59864,Ronan,30,47,USA,03-Drug,1-Rx Only and Small Indep,H-101-200 Stores,C-Chain Store,406.0,6765600.0,"04-$1,500,001 to $2,000,000",30,3,0,0,38708,95328,United Drug Co-Op,Phoenix,AZ,4.0,13.0,150039,United Drug,N,,
"1501 N Union St, Ponca City, OK, 74601",1014.0,71.0,36.720753,-97.0852,True,Non_Exact,"1501 N UNION ST, PONCA CITY, OK, 74601",R,40.0,115892524.0,100.0,Census,POINT (-97.0852 36.720753),True,Kaw/Ponca,Kaw/Ponca joint-use OTSA,False,,,GEOMETRYCOLLECTION EMPTY,1411909.0,1411909,20181116,O-Open Store,LAMP POST LIQUOR,,1501 N UNION ST,PONCA CITY,OK,74601,Ponca City,40,71,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,580.0,7655112.0,"02-$500,001 to $1,000,000",10,2,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"104 W Main St, Hominy, OK, 74035",,,36.415271000000004,-96.394379,True,ROOFTOP,,,,,,Google,POINT (-96.394379 36.415271),True,Osage,Osage Reservation,False,,,GEOMETRYCOLLECTION EMPTY,655375.0,655375,20181116,O-Open Store,REXALL HOMINY DRUG,,104 W MAIN ST,HOMINY,OK,74035,Hominy,40,113,USA,03-Drug,1-Rx Only and Small Indep,A-1 Store,I-Independent Store,918.0,8852715.0,"02-$500,001 to $1,000,000",10,2,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"110 N Main St, Saint Ignatius, MT, 59865",,,47.3176651,-114.09680359999999,True,RANGE_INTERPOLATED,,,,,,Google,POINT (-114.0968036 47.3176651),True,Flathead,Flathead Reservation,False,,,GEOMETRYCOLLECTION EMPTY,2103648.0,2103648,20181116,O-Open Store,MISSION DRUG PHARMACY,,110 N MAIN ST,SAINT IGNATIUS,MT,59865,Saint Ignatius,30,47,USA,03-Drug,1-Rx Only and Small Indep,A-1 Store,I-Independent Store,406.0,7453000.0,"02-$500,001 to $1,000,000",15,2,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"331 N Main St, Fairfax, OK, 74637",,,36.5738715,-96.7046171,True,RANGE_INTERPOLATED,,,,,,Google,POINT (-96.70461709999999 36.5738715),True,Osage,Osage Reservation,False,,,GEOMETRYCOLLECTION EMPTY,7606329.0,7606329,20181116,O-Open Store,MAIN STREET LIQUOR,,331 N MAIN ST,FAIRFAX,OK,74637,Fairfax,40,113,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,918.0,6423175.0,"02-$500,001 to $1,000,000",10,2,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
