address,block,countyfp,id,lat,lon,match,matchtype,parsed,side,statefp,tigerlineid,tract
"201 W Main St, Beulah, ND, 58523",,,7466768,47.2630429,-101.7805126,Google,ROOFTOP,,,,,
"425 W 3rd St, Chadron, NE, 69337",,,7530574,42.8295535,-103.0055068,Google,ROOFTOP,,,,,
"6950 Cypress Rd Ste 105, Fort Lauderdale, FL, 33317",,,7519797,26.1231869,-80.2406266,Google,ROOFTOP,,,,,
"229 E Main St, Grangeville, ID, 83530",,,1401778,45.925392,-116.1171528,Google,ROOFTOP,,,,,
"4400 N State Road 7, Pompano Beach, FL, 33073",,,7463859,26.2842572,-80.2020321,Google,RANGE_INTERPOLATED,,,,,
"1580 Military Rd, Niagara Falls, NY, 14304",,,7366048,43.095623,-78.9753095,Google,ROOFTOP,,,,,
"871 County Road 501, Bayfield, CO, 81122",,,7547655,37.2429322,-107.6020422,Google,ROOFTOP,,,,,
"3011 Hina Chata St, Jena, LA, 71342",,,4037953,31.6917235,-92.1555891,Google,GEOMETRIC_CENTER,,,,,
"1514 E Florence Blvd, Casa Grande, AZ, 85122",,,916115,32.8801755,-111.7220276,Google,ROOFTOP,,,,,
"207 4th Ave NW, Roseau, MN, 56751",,,1425902,48.8472465,-95.7679176,Google,RANGE_INTERPOLATED,,,,,
"91 455 Ewa Beach Rd, Ewa Beach, HI, 96706",,,1401712,21.3116178,-158.0030483,Google,ROOFTOP,,,,,
"9924 W F St, Worley, ID, 83876",,,7591713,47.4003071,-116.9214601,Google,ROOFTOP,,,,,
"554 Main St, Jackman, ME, 4945",,,1455786,45.6207086,-70.2484355,Google,GEOMETRIC_CENTER,,,,,
"166 W 32nd St, Yuma, AZ, 85364",,,708044,32.6699434,-114.6217281,Google,RANGE_INTERPOLATED,,,,,
"474 S Arizona Blvd, Coolidge, AZ, 85128",,,769879,32.9737005,-111.5243558,Google,ROOFTOP,,,,,
"402 W Goodwin St, Prescott, AZ, 86303",,,769402,34.5406017,-112.4734331,Google,RANGE_INTERPOLATED,,,,,
"10600 Coors Bypass NW, Albuquerque, NM, 87114",,,1515937,35.2098473,-106.657245,Google,ROOFTOP,,,,,
"81 Taunton Depot Dr, Taunton, MA, 27806",,,7458040,41.877996,-71.0692764,Google,ROOFTOP,,,,,
"1145 S Camino Del Rio, Durango, CO, 81303",,,1423518,37.2311098,-107.866671,Google,ROOFTOP,,,,,
"2120 22 Main St, Julian, CA, 92036",,,1420471,33.0784779,-116.601818,Google,ROOFTOP,,,,,
"87 368 Farrington Hwy, Waianae, HI, 96792",,,1486278,21.4195778,-158.1771668,Google,ROOFTOP,,,,,
"323 N 11th Ave, Hanford, CA, 93230",,,7514746,36.3265514,-119.6545936,Google,ROOFTOP,,,,,
"16281 State Highway 305 NE, Poulsbo, WA, 98370",,,1616206,47.7080256,-122.58309,Google,ROOFTOP,,,,,
"73 5613 Olowalu St, Kailua Kona, HI, 96740",,,7358453,19.6919691,-156.017452,Google,ROOFTOP,,,,,
"814 N Pinal Ave, Casa Grande, AZ, 85122",,,769876,32.8805893,-111.7572746,Google,RANGE_INTERPOLATED,,,,,
"138 S Main Ave, Fallbrook, CA, 92028",,,7485861,33.381347,-117.2511562,Google,ROOFTOP,,,,,
"7587 S Power Rd, Queen Creek, AZ, 85142",,,2498102,33.2793027,-111.6855425,Google,ROOFTOP,,,,,
"1301 E University Dr, Tempe, AZ, 85281",,,1395650,33.4212394,-111.9171766,Google,ROOFTOP,,,,,
"333 NW 70th Ave, Fort Lauderdale, FL, 33317",,,640984,26.1247747,-80.2418028,Google,ROOFTOP,,,,,
"1196 6th St, Wells, NV, 89835",,,1791766,41.1021501,-114.9592341,Google,ROOFTOP,,,,,
"407 S Parrott Ave, Okeechobee, FL, 34974",,,606674,27.2396876,-80.8294098,Google,ROOFTOP,,,,,
"911 Main St W, Baudette, MN, 56623",,,3742005,48.7142327,-94.6158154,Google,RANGE_INTERPOLATED,,,,,
"113 Main St, McLaughlin, SD, 57642",,,1413901,45.8152915,-100.8110564,Google,RANGE_INTERPOLATED,,,,,
"618 W Highway 64, Morrison, OK, 73061",,,1411962,36.2942677,-97.0136939,Google,RANGE_INTERPOLATED,,,,,
"275 Us Highway 1, Columbia Falls, ME, 46233",,,1455989,44.6538001,-67.7273744,Google,APPROXIMATE,,,,,
"3405 Us Highway 441 S, Okeechobee, FL, 34974",,,7240024,27.2746614,-80.8300072,Google,RANGE_INTERPOLATED,,,,,
"930 E Florence Blvd Ste B, Casa Grande, AZ, 85122",,,708000,32.8801419,-111.7416235,Google,ROOFTOP,,,,,
"201 S Broadway St, Linton, ND, 58552",,,7459170,46.265627,-100.2328736,Google,RANGE_INTERPOLATED,,,,,
"13420 Hwy 101 S, Hopland, CA, 95449",,,2241172,38.9727068,-123.1169843,Google,ROOFTOP,,,,,
"60 State St, Presque Isle, ME, 47692",,,3816667,46.6829401,-68.0202515,Google,ROOFTOP,,,,,
