address,block,countyfp,lat,lon,match,matchtype,parsed,side,statefp,tigerlineid,tract,matchsource,Coordinates,On Tribe Land,Assoc Tribe,Assoc Res,FDA_match,id,FDA_dist_miles,FDA_coord,Niel_id,TDLinx Store Code,File Date,Store Status Indicator,bizname,Store Number,paddress1,pcity,pstate,pzip,Store Place Name,Store State FIPS Code ,Store County FIPS Code ,Store Country Name,Trade Channel Code,Sub-Channel Code,Number of Stores/Outlets Code,Chain Indicator,Area Code,Phone Number,Store Volume ,Weekly Volume (000s),Area of Selling Space ,Full Time Employee Equivalents,Number of Checkouts,TDLinx Account Code for the Owner/Company,Retail Family Code for the Owner/Company,Owner Name,Owner City,Owner State ,Owner State FIPS Code,Owner County FIPS Code,TDLinx Account Code for the Marketing Group ,Marketing Group Name,Non-Corporate Owned,paddress2,FDA_id
"125 Goddard Ave, Ignacio, CO, 81137",2036.0,67.0,37.119125,-107.63311000000002,True,Exact,"125 GODDARD AVE, IGNACIO, CO, 81137",L,8.0,91702445.0,940300.0,Census,POINT (-107.63311 37.119125),True,Southern Ute,Southern Ute Reservation,True,,0.0028927593672792634,GEOMETRYCOLLECTION EMPTY,1424206.0,1424206,20181116,O-Open Store,PINON LIQUORS,,125 GODDARD AVE,IGNACIO,CO,81137,Ignacio,8,67,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,970.0,5634083.0,"05-$2,000,001 to $4,000,000",40,3,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,386.0
"413 W Sd Highway 46, Wagner, SD, 57380",1006.0,23.0,43.081646,-98.29824,True,Exact,"413 STATE HWY 46, WAGNER, SD, 57380",L,46.0,174525759.0,940300.0,Census,POINT (-98.29824000000001 43.081646),True,Yankton,Yankton Reservation,True,,0.019785011640059746,GEOMETRYCOLLECTION EMPTY,7404695.0,7404695,20181116,O-Open Store,BOBS LIQUOR,,413 W SD HIGHWAY 46,WAGNER,SD,57380,Wagner,46,23,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,,,"02-$500,001 to $1,000,000",10,2,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,1621.0
"900 S California Ave, Parker, AZ, 85344",2145.0,12.0,34.151245,-114.2897,True,Non_Exact,"900 S CALIFORNIA AVE, PARKER, AZ, 85344",L,4.0,129736081.0,940200.0,Census,POINT (-114.2897 34.151245),True,Colorado River,Colorado River Indian Reservation,True,,0.00860651654922284,GEOMETRYCOLLECTION EMPTY,769408.0,769408,20181116,O-Open Store,LITTLE BROWN JUG,,900 S CALIFORNIA AVE,PARKER,AZ,85344,Parker,4,12,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,928.0,6698284.0,"02-$500,001 to $1,000,000",15,2,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,21.0
"113 Main St, McLaughlin, SD, 57642",,,45.8152915,-100.8110564,True,RANGE_INTERPOLATED,,,,,,Google,POINT (-100.8110564 45.8152915),True,Standing Rock,Standing Rock Reservation,True,,0.029709331962302868,GEOMETRYCOLLECTION EMPTY,1413901.0,1413901,20181116,O-Open Store,MCLAUGHLIN LIQUOR STORE,,113 MAIN ST,MCLAUGHLIN,SD,57642,McLaughlin,46,31,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,605.0,8234425.0,"03-$1,000,001 to $1,500,000",25,1,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,1599.0
"63802 Us Highway 93, Ronan, MT, 59864",,,47.5199872,-114.09648419999999,True,ROOFTOP,,,,,,Google,POINT (-114.0964842 47.5199872),True,Flathead,Flathead Reservation,True,,0.01962089699091569,GEOMETRYCOLLECTION EMPTY,671611.0,671611,20181116,O-Open Store,UNITED DRUG R & R,735,63802 US HIGHWAY 93,RONAN,MT,59864,Ronan,30,47,USA,03-Drug,1-Rx Only and Small Indep,H-101-200 Stores,C-Chain Store,406.0,6765600.0,"04-$1,500,001 to $2,000,000",30,3,0,0,38708,95328,United Drug Co-Op,Phoenix,AZ,4.0,13.0,150039,United Drug,N,,798.0
"110 N Main St, Saint Ignatius, MT, 59865",,,47.3176651,-114.09680359999999,True,RANGE_INTERPOLATED,,,,,,Google,POINT (-114.0968036 47.3176651),True,Flathead,Flathead Reservation,True,,0.024772671369627113,GEOMETRYCOLLECTION EMPTY,2103648.0,2103648,20181116,O-Open Store,MISSION DRUG PHARMACY,,110 N MAIN ST,SAINT IGNATIUS,MT,59865,Saint Ignatius,30,47,USA,03-Drug,1-Rx Only and Small Indep,A-1 Store,I-Independent Store,406.0,7453000.0,"02-$500,001 to $1,000,000",15,2,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,797.0
"49594 Us Highway 93, Polson, MT, 59860",2034.0,47.0,47.694416,-114.16051499999999,True,Non_Exact,"49594 US HWY 93, POLSON, MT, 59860",R,30.0,206887750.0,940301.0,Census,POINT (-114.160515 47.694416),True,Flathead,Flathead Reservation,True,,0.005084381692914505,GEOMETRYCOLLECTION EMPTY,7347934.0,7347934,20181116,O-Open Store,MONTANA AGENCY OUTLET,54,49594 US HIGHWAY 93,POLSON,MT,59860,Polson,30,47,USA,02-Liquor,2-Conventional Liquor,A-1 Store,C-Chain Store,406.0,8835644.0,"02-$500,001 to $1,000,000",10,1,0,0,999999,99999,Independent,,,,,176004,Montana Agency Outlet,Y,,796.0
"1002 W Arizona Ave, Parker, AZ, 85344",1080.0,12.0,34.146843,-114.28858000000001,True,Non_Exact,"1002 W ARIZONA AVE, PARKER, AZ, 85344",L,4.0,129726608.0,940200.0,Census,POINT (-114.28858 34.146843),True,Colorado River,Colorado River Indian Reservation,True,,0.018633409401525948,GEOMETRYCOLLECTION EMPTY,950935.0,950935,20181116,O-Open Store,UNITED DRUG APOTHECARY,845,1002 W ARIZONA AVE,PARKER,AZ,85344,Parker,4,12,USA,03-Drug,1-Rx Only and Small Indep,H-101-200 Stores,C-Chain Store,928.0,6692147.0,"03-$1,000,001 to $1,500,000",25,3,0,0,38708,95328,United Drug Co-Op,Phoenix,AZ,4.0,13.0,150039,United Drug,N,,46.0
"63307 Us Highway 93, Ronan, MT, 59864",2007.0,47.0,47.535717,-114.09948999999999,True,Non_Exact,"63307 US HWY 93, RONAN, MT, 59864",L,30.0,639854706.0,940500.0,Census,POINT (-114.09949 47.535717),True,Flathead,Flathead Reservation,True,,0.00984402066967247,GEOMETRYCOLLECTION EMPTY,1620037.0,1620037,20181116,O-Open Store,FAMILY HEALTH PHARMACY,,63307 US HIGHWAY 93,RONAN,MT,59864,Ronan,30,47,USA,03-Drug,1-Rx Only and Small Indep,A-1 Store,I-Independent Store,406.0,6762111.0,"02-$500,001 to $1,000,000",10,2,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,771.0
"555 Goddard Ave, Ignacio, CO, 81137",,,37.1155279,-107.63345100000001,True,RANGE_INTERPOLATED,,,,,,Google,POINT (-107.633451 37.1155279),True,Southern Ute,Southern Ute Reservation,True,,0.008926725679116723,GEOMETRYCOLLECTION EMPTY,3869665.0,3869665,20181116,O-Open Store,WELLS LIQUOR,,555 GODDARD AVE,IGNACIO,CO,81137,Ignacio,8,67,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,970.0,5633633.0,"05-$2,000,001 to $4,000,000",40,3,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,378.0
