Unnamed: 0,IMPAQ_ID,DBA Name,DBA Name_changes,DBA Name_update,Address Line 1,Address Line 1_changes,Address Line 1_update,City,City_changes,City_update,State,State_changes,State_update,Zip,Zip_changes,Zip_update,Latitude,Latitude_changes,Latitude_update,Longitude,Longitude_changes,Longitude_update,Full Address,Full Address_changes,Full Address_update,County,County_changes,County_update,Address Line 2,matchsource,est_id,found_pic,Manual Result,biz_status,Coordinates,On Tribe Land,Miles to Nearest Tribe,Assoc Tribe,Assoc Res,Nearest Tribe,Nearest Res,ori_flg,Owner Name,Owner City,Owner State,Non-Corporate Owned,Niel_id,SoS_record,entity,agent_name,agent_address,agent_city,agent_state,agent_zip
982,982,LITTLEWATER EXPRESS #522,Can't Validate,LITTLEWATER EXPRESS #522,U.S. HWY. 491,Can't Validate,U.S. HWY. 491,LITTLEWATER,Can't Validate,LITTLEWATER,NM,Can't Validate,NM,87420,Can't Validate,87420.0,36.44354000000001,Can't Validate,36.44354000000001,-108.7215,Can't Validate,-108.7215,"U.S. HWY. 491  LITTLEWATER, NM 87420",Can't Validate,"U.S. HWY. 491 LITTLEWATER, NM 87420",,Can't Validate,SAN JUAN,,Original,982.0,,,Can't Validate,POINT (-108.7215 36.44354000000001),Yes,0.0,Navajo Nation,Navajo Nation Reservation,,,From Original List,,,,,,,,,,,,
983,983,NNOG #140 TOHATCHI CHEVRON,Can't Validate,NNOG #140 TOHATCHI CHEVRON,309 U.S. HWY. 491,Can't Validate,309 U.S. HWY. 491,TOHATCHI,Can't Validate,TOHATCHI,NM,Can't Validate,NM,87325,Can't Validate,87325.0,35.85528,Can't Validate,35.85528,-108.7541,Can't Validate,-108.7541,"309 U.S. HWY. 491  TOHATCHI, NM 87325",Can't Validate,"309 U.S. HWY. 491 TOHATCHI, NM 87325",,Can't Validate,MCKINLEY,,Original,983.0,,,Can't Validate,POINT (-108.7541 35.85528),Yes,0.0,Navajo Nation,Navajo Nation Reservation,,,From Original List,,,,,,,,,,,,
984,984,NNOG 520 TEXACO,Can't Validate,NNOG 520 TEXACO,HWY. 264,Can't Validate,HWY. 264,TSE BONITO,Can't Validate,TSE BONITO,NM,Can't Validate,NM,86515,Can't Validate,86515.0,35.65711,Can't Validate,35.65711,-109.04,Can't Validate,-109.04,"HWY. 264  TSE BONITO, NM 86515",Can't Validate,"HWY. 264 TSE BONITO, NM 86515",,Can't Validate,MCKINLEY,,Original,984.0,,,Can't Validate,POINT (-109.04 35.65711),No,0.2241977071437953,,,Navajo Nation,Navajo Nation Reservation,From Original List,,,,,,,,,,,,
985,985,NORTHERN EDGE NAVAJO CASINO,Correct,NORTHERN EDGE NAVAJO CASINO,NM HWY. 371 S. & BISTI HWY. ON UPPER FRUITLAND RD. (NAVAJO RTE. 36),2752 INDIAN SERVICE RD 36,2752 INDIAN SERVICE RD 36,SAN JUAN,FRUITLAND,FRUITLAND,NM,Correct,NM,87401,87416,87416.0,36.7109098,36.7162915,36.7162915,-108.2377822,-108.25566699999999,-108.25566699999999,"NM HWY. 371 S. & BISTI HWY. ON UPPER FRUITLAND RD. (NAVAJO RTE. 36)  SAN JUAN, NM 87401","2752 Indian Service Rd 36, Fruitland, NM 87416, USA","2752 Indian Service Rd 36, Fruitland, NM 87416, USA",,Correct,SAN JUAN,,Google,985.0,,,Active,POINT (-108.255667 36.7162915),Yes,0.0,Navajo Nation,Navajo Nation Reservation,,,From Original List,,,,,,,,,,,,
986,986,SHELL / QUIK MART,Can't Validate,SHELL / QUIK MART,HIGHWAY 64 AND 491 SOUTH,Can't Validate,HIGHWAY 64 AND 491 SOUTH,SHIPROCK,Can't Validate,SHIPROCK,NM,Can't Validate,NM,87420,Can't Validate,87420.0,36.77718,Can't Validate,36.77718,-108.6966,Can't Validate,-108.6966,"HIGHWAY 64 AND 491 SOUTH  SHIPROCK, NM 87420",Can't Validate,"HIGHWAY 64 AND 491 SOUTH SHIPROCK, NM 87420",SAN JUAN,Can't Validate,SAN JUAN,,Original,986.0,,,Can't Validate,POINT (-108.6966 36.77718),Yes,0.0,Navajo Nation,Navajo Nation Reservation,,,From Original List,,,,,,,,,,,,
987,987,RED MESA #507,Can't Validate,RED MESA #507,U.S. HWY. 491,Can't Validate,U.S. HWY. 491,NASCHITTI,Can't Validate,NASCHITTI,NM,Can't Validate,NM,87364,Can't Validate,87364.0,36.06502,Can't Validate,36.06502,-108.682,Can't Validate,-108.682,"U.S. HWY. 491  NASCHITTI, NM 87364",Can't Validate,"U.S. HWY. 491 NASCHITTI, NM 87364",,Can't Validate,SAN JUAN,,Original,987.0,,,Can't Validate,POINT (-108.682 36.06502),Yes,0.0,Navajo Nation,Navajo Nation Reservation,,,From Original List,,,,,,,,,,,,
988,988,RED MESA #511,Can't Validate,RED MESA #511,JCT. HWY. 491 & 134,Can't Validate,JCT. HWY. 491 & 134,SHEEP SPRINGS,Can't Validate,SHEEP SPRINGS,NM,Can't Validate,NM,87364,Can't Validate,87364.0,36.1455,Can't Validate,36.1455,-108.7074,Can't Validate,-108.7074,"JCT. HWY. 491 & 134  SHEEP SPRINGS, NM 87364",Can't Validate,"JCT. HWY. 491 & 134 SHEEP SPRINGS, NM 87364",,Can't Validate,SAN JUAN,,Original,988.0,,,Can't Validate,POINT (-108.7074 36.1455),Yes,0.0,Navajo Nation,Navajo Nation Reservation,,,From Original List,,,,,,,,,,,,
989,989,RED MESA EXPRESS,Correct,RED MESA EXPRESS,30 YATAHEY LOOP RD. (JCT. HWY. 491 & 264),US-491,US-491,YAHTAHEY,YAH-TA-HEY,YAH-TA-HEY,NM,Correct,NM,87375,Correct,87375.0,37.8722591,35.626616,35.626616,-109.33804750000002,-108.7812186,-108.7812186,"30 YATAHEY LOOP RD. (JCT. HWY. 491 & 264)  YAHTAHEY, NM 87375","US-491, Yah-Ta-Hey, NM 87375, USA","US-491, Yah-Ta-Hey, NM 87375, USA",,Correct,MCKINLEY,,Google,989.0,,,Closed,POINT (-108.7812186 35.626616),No,0.20443258784755647,,,Navajo Nation,Navajo Nation Off-Reservation Trust Land,From Original List,,,,,,,,,,,,
990,990,RED MESA EXPRESS #520,Can't Validate,RED MESA EXPRESS #520,NM HWY. 197/NAVAJO RTE. 9 (27 MILES WEST OF CUBA N.W.),Can't Validate,NM HWY. 197/NAVAJO RTE. 9 (27 MILES WEST OF CUBA N.W.),TORREON,Can't Validate,TORREON,NM,Can't Validate,NM,87313,Can't Validate,87313.0,35.8923941,Can't Validate,35.8923941,-107.1569618,Can't Validate,-107.1569618,"NM HWY. 197/NAVAJO RTE. 9 (27 MILES WEST OF CUBA N.W.)  TORREON, NM 87313",Can't Validate,"NM HWY. 197/NAVAJO RTE. 9 (27 MILES WEST OF CUBA N.W.) TORREON, NM 87313",,Can't Validate,SANDOVAL,,Google,990.0,,,Can't Validate,POINT (-107.1569618 35.8923941),No,1.803222806755504,,,Navajo Nation,Navajo Nation Off-Reservation Trust Land,From Original List,,,,,,,,,,,,
991,991,SAGEBRUSH LIQUORS,Can't Validate,SAGEBRUSH LIQUORS,452A HWY. 264,Can't Validate,452A HWY. 264,YAHTAHEY,Can't Validate,YAHTAHEY,NM,Can't Validate,NM,87375,Can't Validate,87375.0,35.63595,Can't Validate,35.63595,-108.8551,Can't Validate,-108.8551,"452A HWY. 264  YAHTAHEY, NM 87375",Can't Validate,"452A HWY. 264 YAHTAHEY, NM 87375",,Can't Validate,MCKINLEY,,Original,991.0,,,Can't Validate,POINT (-108.8551 35.63595),No,0.17066452684368386,,,Navajo Nation,Navajo Nation Off-Reservation Trust Land,From Original List,,,,,,,,,,,,
992,992,SOC/NAVAJO CONOCO #30,Can't Validate,SOC/NAVAJO CONOCO #30,NAVAJO RT. 12 & SHEPPARD SPRINGS RD.,Can't Validate,NAVAJO RT. 12 & SHEPPARD SPRINGS RD.,NAVAJO,Can't Validate,NAVAJO,NM,Can't Validate,NM,87328,Can't Validate,87328.0,35.90823,Can't Validate,35.90823,-109.0345,Can't Validate,-109.0345,"NAVAJO RT. 12 & SHEPPARD SPRINGS RD.  NAVAJO, NM 87328",Can't Validate,"NAVAJO RT. 12 & SHEPPARD SPRINGS RD. NAVAJO, NM 87328",,Can't Validate,MCKINLEY,,Original,992.0,,,Can't Validate,POINT (-109.0345 35.90823),Yes,0.0,Navajo Nation,Navajo Nation Reservation,,,From Original List,,,,,,,,,,,,
993,993,VALLEY TRADING POST,Correct,VALLEY TRADING POST,3435 U.S. HWY. 64,3435 US-64,3435 US-64,WATERFLOW,Correct,WATERFLOW,NM,Correct,NM,87421,Correct,87421.0,36.76005900000001,36.75985410000001,36.75985410000001,-108.491388,-108.4912857,-108.4912857,"3435 U.S. HWY. 64  WATERFLOW, NM 87421","3435 US-64, Waterflow, NM 87421, USA","3435 US-64, Waterflow, NM 87421, USA",,Correct,SAN JUAN,,Original,993.0,,,Active,POINT (-108.4912857 36.75985410000001),No,0.2973712424639104,,,Navajo Nation,Navajo Nation Reservation,From Original List,,,,,,,,,,,,
994,994,OHKAY CASINO,OHKAY HOTEL CASINO,OHKAY HOTEL CASINO,68 NM-291,Correct,68 NM-291,OHKAY OWINGEH,Correct,OHKAY OWINGEH,NM,Correct,NM,87566,Correct,87566.0,36.08454,Correct,36.08454,-106.0785,Correct,-106.0785,"68 NM-291  OHKAY OWINGEH, NM 87566",Correct,"68 NM-291 OHKAY OWINGEH, NM 87566",,Correct,RIO ARRIBA,,Original,994.0,,,Active,POINT (-106.0785 36.08454),Yes,0.0,Ohkay Owingeh,Ohkay Owingeh,,,From Original List,,,,,,,,,,,,
995,995,SKY CITY CASINO,SKY CITY CASINO HOTEL,SKY CITY CASINO HOTEL,"INTERSTATE 40, EXIT 102",I-40 EXIT 102,I-40 EXIT 102,ACOMA,ACOMA PUEBLO,ACOMA PUEBLO,NM,Correct,NM,87034,Correct,87034.0,35.07617,35.07616779999999,35.07616779999999,-107.5554,-107.55544420000001,-107.55544420000001,"INTERSTATE 40, EXIT 102  ACOMA, NM 87034","I-40 Exit 102, Acoma Pueblo, NM 87034, USA","I-40 Exit 102, Acoma Pueblo, NM 87034, USA",,Correct,CIBOLA,,Original,995.0,0.0,,Active,POINT (-107.5554442 35.07616779999999),Yes,0.0,Acoma,Acoma Pueblo,,,From Original List,,,,,,,,,,,,
996,996,SKY CITY TRAVEL CENTER,Correct,SKY CITY TRAVEL CENTER,I-40 & EXIT 102,Correct,I-40 & EXIT 102,PUEBLO OF ACOMA,Correct,PUEBLO OF ACOMA,NM,Correct,NM,87034,Correct,87034.0,34.71002,Correct,34.71002,-107.5742,Correct,-107.5742,"I-40 & EXIT 102  PUEBLO OF ACOMA, NM 87034",Correct,"I-40 & EXIT 102 PUEBLO OF ACOMA, NM 87034",,Correct,CIBOLA,,Original,996.0,,,Active,POINT (-107.5742 34.71002),Yes,0.0,Laguna,Laguna Pueblo,,,From Original List,,,,,,,,,,,,
997,997,SKY WAY TRAVEL CENTER,SKYWAY TRAVEL CENTER,SKYWAY TRAVEL CENTER,600 MCBRIDE RD.,Correct,600 MCBRIDE RD.,GRANTS,Correct,GRANTS,NM,Correct,NM,87020,Correct,87020.0,35.085479,Correct,35.085479,-107.769508,Correct,-107.769508,"600 MCBRIDE RD.  GRANTS, NM 87020",Correct,"600 MCBRIDE RD. GRANTS, NM 87020",,Correct,CIBOLA,,Original,997.0,1.0,maybe,Active,POINT (-107.769508 35.085479),No,1.1770471844560586,,,Acoma,Acoma Pueblo,From Original List,,,,,,,,,,,,
998,998,PUEBLO DE COCHITI CONVENIENCE STORE,Correct,PUEBLO DE COCHITI CONVENIENCE STORE,1405 COCHITI HIGHWAY,Correct,1405 COCHITI HIGHWAY,COCHITI LAKE,Correct,COCHITI LAKE,NM,Correct,NM,87083,Correct,87083.0,35.647701,Correct,35.647701,-106.331848,Correct,-106.331848,"1405 COCHITI HIGHWAY  COCHITI LAKE, NM 87083",Correct,"1405 COCHITI HIGHWAY COCHITI LAKE, NM 87083",,Correct,SANDOVAL,,Original,998.0,,,Active,POINT (-106.331848 35.647701),Yes,0.0,Cochiti,Pueblo de Cochiti,,,From Original List,,,,,,,,,,,,
999,999,ROMEROS MARKET  INC.,Correct,ROMEROS MARKET  INC.,PO BOX 1245,Correct,PO BOX 1245,PENA BLANCA,Correct,PENA BLANCA,NM,Correct,NM,87041,Correct,87041.0,35.5608705,Correct,35.5608705,-106.340877,Correct,-106.340877,"PO BOX 1245  PENA BLANCA, NM 87041",Correct,"PO BOX 1245 PENA BLANCA, NM 87041",,Correct,SANDOVAL,,Google,999.0,,,Active,POINT (-106.340877 35.5608705),No,0.07825371199768122,,,Santo Domingo,Santo Domingo Pueblo,From Original List,,,,,,,,,,,,
