est_id,DBA Name,bizname,Full Address,formatted_address,name_score,AddressNumber_score,StreetName_score,StreetNamePostType_score,ZipCode_score,dist_miles
111,NAVAJO TRAVEL CENTER,NAVAJO TRAVEL CENTER,"EXIT 325 ON I-40  NAVAJO, AZ 86509","I-40 Exit 325, Navajo, AZ 86509, USA",1.0,-1.0,-1.0,-1.0,-1.0,0.18682894215742965
114,PAINTED DESERT TRADING COMPANY,PAINTED DESERT TRADING COMPANY,"465 HWY. 89  CAMERON, AZ 86020","8465 US-89, Cameron, AZ 86020, USA",1.0,0.0,0.0,,1.0,3.3925384256388886
118,QUECHAN CONVENIENCE STORE,FORT YUMA QUECHAN TRIBE,"450 QUECHAN DR.  YUMA, AZ 85366","350 Picacho Rd, Yuma, AZ 85365, USA",0.8997004441689908,0.0,0.0,0.0,0.0,0.08317380388789301
119,RED LAKE TRADING POST,TUBA CITY TRADING POST,"HWY. 160  TUBA CITY, AZ 86044","10 Main St, Tuba City, AZ 86045, USA",0.6338530198878477,,0.0,,0.0,0.3085587600247459
122,RED ROCK TRADING POST,RED ROCK TRADING POST,"HWY. N. 13 21 MILES WEST OF HWY. 491  RED VALLEY, AZ 86544","Indian Rte 13, Red Valley, AZ 86544, USA",1.0,-1.0,-1.0,-1.0,-1.0,5.109770183212849
128,SIMPSON'S MARKET,SIMPSON MARKET,"HWY. 89 & S.R. 64  CAMERON, AZ 86020","A, 465 US-89, Cameron, AZ 86020, USA",0.048780487804878064,,0.0,,1.0,0.7806901652558531
131,SPEEDY'S,SPEEDY'S TRUCK STOP,"35900 HWY. I-40 EXIT 359  LUPTON, AZ 86508","I-40 & EXIT 359 Grant Rd, Lupton, AZ 86508, USA",1.0,0.0,0.0,,1.0,1.4410186561181506
132,SPEEDY'S CONVENIENCE STORE,SPEEDY'S TRUCKSTOP,"HWY. 89 & JCT. 64  CAMERON, AZ 86020","US-89, Cameron, AZ 86020, USA",0.8997004441689908,-1.0,-1.0,-1.0,-1.0,4.641557293183496e-13
133,SPIRIT MOUNTAIN CASINO AND SPIRIT MOUNTAIN RV RESORT,SPIRIT MOUNTAIN CASINO,"8555 HWY. 95  MOHAVE VALLEY, AZ 86440","8555 AZ-95, Mohave Valley, AZ 86440, USA",1.0,1.0,0.0,,1.0,0.2308090696242829
136,SUNRISE PARK RESORT GENERAL STORE,SUNRISE PARK RESORT,"HWY. 273  GRER, AZ 85927","160 AZ-273, Greer, AZ 85927, USA",1.0000000000000002,,0.0,,1.0,0.1467289184609057
137,SUPER K CHEVRON,CHEVRON,"HWY. 160 & 264  TUBA CITY, AZ 86045","US-160 & AZ-264, Tuba City, AZ 86045, USA",1.0,,0.0,,1.0,0.07568336938725702
142,TOBACCO BARN,TOBACCO BARN,"7310 S. NOGALES HWY.  TUCSON, AZ 85706","7310 S Nogales Hwy, Tucson, AZ 85756, USA",1.0,1.0,1.0,1.0,0.0,0.01067348008120041
