44,NAVAJO RT. 7,CHINLE,AZ,86503
47,HWY. 91 AT RTE. 7,CHINLE,AZ,86503
54,HWY. 73 & MAIN ST.,WHITERIVER,AZ,85941
55,HWY. 160 & HWY. 564,BLACK MESA,AZ,86503
63,RTE. 7,CHINLE,AZ,86503
72,HWY. 98 N. 16,TONALEA,AZ,86044
76,HWY. 86 MILEPOST 55,WHY,AZ,85321
87,N.E. CORNER OF HWY. 160 & 264,TUBA CITY,AZ,86045
107,HWY. 160,MEXICAN WATER,AZ,86514
115,450 QUECHAN DR.,YUMA,AZ,85364
119,HWY. 160,TUBA CITY,AZ,86044
120,HWY. 160 (22 MILES NORTHEAST OF TUBA CITY),TONALEA,AZ,86044
121,HWY. 160,RED MESA,AZ,86514
122,HWY. N. 13 21 MILES WEST OF HWY. 491,RED VALLEY,AZ,86544
123,HWY. 59,ROUGH ROCK,AZ,86503
128,HWY. 89 & S.R. 64,CAMERON,AZ,86020
130,JCT. HWY. 160 & 163,KAYENTA,AZ,86033
131,35900 HWY. I-40 EXIT 359,LUPTON,AZ,86508
132,HWY. 89 & JCT. 64,CAMERON,AZ,86020
135,H.C. 58 BOX 40 HWY. 264,GANADO,AZ,86505
136,HWY. 273,GRER,AZ,85927
138,10485 SOUTH BARRACKMAN ROAD,MOHAVE VALLEY,AZ,86440
141,HWY. 89 (40 MILES NORTH OF FLAGSTAFF) - MILE POST 451,GRAY MOUNTAIN,AZ,86016
145,101 MAIN ST.,LUKACHUKAI,AZ,86507
147,JCT. OF HWY. 160 & STATE RTE. 264,TUBA CITY,AZ,86045
154,190 W. PIMA ST,SACATON,AZ,85147
156,4 CAMINO ORTERO ST,TUBAC,AZ,85646
204,14197 GOLF COURSE DR,BROOKS,CA,95606
303,8184 TABLE MNT. RD.,FRIANT,CA,93626
332,777 PAUMA RESERVATION RD.,PAUMA VALLEY,CA,92061
352,5 MAIN STREET,HAVASU LAKE,CA,92363
371,22391 W HWY 160,CHIMNEY ROCK,CO,81127
