address,block,countyfp,lat,lon,match,matchtype,parsed,side,statefp,tigerlineid,tract,matchsource,Coordinates,On Tribe Land,Assoc Tribe,Assoc Res,FDA_match,id,FDA_dist_miles,FDA_coord,Niel_id,TDLinx Store Code,File Date,Store Status Indicator,bizname,Store Number,paddress1,pcity,pstate,pzip,Store Place Name,Store State FIPS Code ,Store County FIPS Code ,Store Country Name,Trade Channel Code,Sub-Channel Code,Number of Stores/Outlets Code,Chain Indicator,Area Code,Phone Number,Store Volume ,Weekly Volume (000s),Area of Selling Space ,Full Time Employee Equivalents,Number of Checkouts,TDLinx Account Code for the Owner/Company,Retail Family Code for the Owner/Company,Owner Name,Owner City,Owner State ,Owner State FIPS Code,Owner County FIPS Code,TDLinx Account Code for the Marketing Group ,Marketing Group Name,Non-Corporate Owned,paddress2,FDA_id
"1972 W Perimeter Rd, Steamburg, NY, 14783",2050.0,9.0,42.086376,-78.89369,True,Exact,"1972 W PERIMETER RD, STEAMBURG, NY, 14783",R,36.0,122028644.0,940300.0,Census,POINT (-78.89369000000001 42.086376),Yes,Allegany,Allegany Reservation,True,,0.0,GEOMETRYCOLLECTION EMPTY,1669298,1669298,20181116,O-Open Store,TURTLE PIT CAFE & SMOKE SHOP,,1972 W PERIMETER RD,STEAMBURG,NY,14783,Steamburg,36,9,USA,04-Cigarette Outlet,4-Conventional Cigarette Outlet,A-1 Store,I-Independent Store,716.0,3542298.0,,0,0,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,1112.0
"10115 E Mcdowell Rd, Scottsdale, AZ, 85256",3000.0,13.0,33.46578,-111.863365,True,Exact,"10115 E MCDOWELL RD, SCOTTSDALE, AZ, 85256",R,4.0,128233470.0,941300.0,Census,POINT (-111.863365 33.46578),Yes,Salt River,Salt River Reservation,True,,0.07606964040637552,GEOMETRYCOLLECTION EMPTY,846069,846069,20181116,O-Open Store,ON AUK MOR INDIAN SMOKE SHOP,1,10115 E MCDOWELL RD,SCOTTSDALE,AZ,85256,Scottsdale,4,13,USA,04-Cigarette Outlet,4-Conventional Cigarette Outlet,D-6-10 Stores,C-Chain Store,480.0,9454116.0,,0,0,0,0,103071,24270,On Auk Mor,Scottsdale,AZ,4.0,13.0,555555,No Group Assignment,N,,157.0
"525 S 8th St, Fairfax, OK, 74637",5115.0,113.0,36.56571,-96.71036,True,Exact,"525 S 8TH ST, FAIRFAX, OK, 74637",L,40.0,82319694.0,940003.0,Census,POINT (-96.71035999999999 36.56571),Yes,Osage,Osage Reservation,True,,0.02208573336876489,GEOMETRYCOLLECTION EMPTY,1528190,1528190,20181116,O-Open Store,FAIRFAX SMOKE SHOP,,525 S 8TH ST,FAIRFAX,OK,74637,Fairfax,40,113,USA,04-Cigarette Outlet,4-Conventional Cigarette Outlet,A-1 Store,I-Independent Store,918.0,6423845.0,,0,0,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,1450.0
"4231 W Riggs Rd, Chandler, AZ, 85248",,,33.2187088,-111.914989,True,ROOFTOP,,,,,,Google,POINT (-111.914989 33.2187088),Yes,Gila River,Gila River Indian Reservation,True,,3.1709232485678527,GEOMETRYCOLLECTION EMPTY,700028,700028,20181116,O-Open Store,AKIMEL SMOKE SHOP,,4231 W RIGGS RD,CHANDLER,AZ,85248,Sun Lakes,4,13,USA,04-Cigarette Outlet,4-Conventional Cigarette Outlet,A-1 Store,I-Independent Store,520.0,7962171.0,,0,0,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,41.0
"103 Rooseveltown Rd, Hogansburg, NY, 13655",1030.0,33.0,44.97714600000001,-74.71505,True,Exact,"103 ROOSEVELTOWN RD, HOGANSBURG, NY, 13655",L,36.0,639214197.0,940000.0,Census,POINT (-74.71505000000001 44.97714600000001),Yes,St. Regis Mohawk,St. Regis Mohawk Reservation,True,,0.028053098783387215,GEOMETRYCOLLECTION EMPTY,1772377,1772377,20181116,O-Open Store,KEEGANS TOBACCO SHOP,,103 ROOSEVELTOWN RD,HOGANSBURG,NY,13655,Hogansburg,36,33,USA,04-Cigarette Outlet,4-Conventional Cigarette Outlet,A-1 Store,I-Independent Store,518.0,3584463.0,,0,0,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,1125.0
"702 Broad St, Salamanca, NY, 14779",6007.0,9.0,42.159237,-78.74176999999997,True,Exact,"702 BROAD ST, SALAMANCA, NY, 14779",R,36.0,122025276.0,940300.0,Census,POINT (-78.74176999999997 42.159237),Yes,Allegany,Allegany Reservation,True,,0.06353576692192571,GEOMETRYCOLLECTION EMPTY,1625202,1625202,20181116,O-Open Store,SENEKA SMOKE SHOP,,702 BROAD ST,SALAMANCA,NY,14779,Salamanca,36,9,USA,04-Cigarette Outlet,4-Conventional Cigarette Outlet,A-1 Store,I-Independent Store,716.0,9450576.0,,0,0,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,1148.0
"1225 N Main St, Las Vegas, NV, 89101",2002.0,3.0,36.185226,-115.13752,True,Non_Exact,"1225 N MAIN ST, LAS VEGAS, NV, 89101",L,32.0,201936594.0,401.0,Census,POINT (-115.13752 36.185226),Yes,Las Vegas,Las Vegas Indian Colony,True,,0.10985662873749218,GEOMETRYCOLLECTION EMPTY,744050,744050,20181116,O-Open Store,PAIUTE MINI MART,,1225 N MAIN ST,LAS VEGAS,NV,89101,Las Vegas,32,3,USA,04-Cigarette Outlet,4-Conventional Cigarette Outlet,A-1 Store,I-Independent Store,702.0,3876433.0,,0,0,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,1050.0
"318 Main St, Kamiah, ID, 83536",,,46.2283211,-116.02837759999998,True,ROOFTOP,,,,,,Google,POINT (-116.0283776 46.2283211),Yes,Nez Perce,Nez Perce Reservation,True,,0.04264297610715036,GEOMETRYCOLLECTION EMPTY,1804190,1804190,20181116,O-Open Store,KAMIAH DRUG,,318 MAIN ST,KAMIAH,ID,83536,Kamiah,16,61,USA,03-Drug,3-Conventional Drug,A-1 Store,I-Independent Store,208.0,9352301.0,"03-$1,000,001 to $1,500,000",20,7,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,477.0
"44 Frontier Dr, Cherokee, NC, 28719",,,35.4690709,-83.30667,True,ROOFTOP,,,,,,Google,POINT (-83.30667 35.4690709),Yes,Eastern Cherokee,Eastern Cherokee Reservation,True,,1.3771173422988086,GEOMETRYCOLLECTION EMPTY,7482941,7482941,20181116,O-Open Store,RICK SMOKE SHOP,,44 FRONTIER DR,CHEROKEE,NC,28719,Cherokee,37,99,USA,04-Cigarette Outlet,4-Conventional Cigarette Outlet,A-1 Store,I-Independent Store,828.0,4973556.0,,0,0,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,818.0
"35 Church St, Salamanca, NY, 14779",3021.0,9.0,42.159206,-78.71339,True,Exact,"35 CHURCH ST, SALAMANCA, NY, 14779",R,36.0,642871184.0,940300.0,Census,POINT (-78.71339 42.159206),Yes,Allegany,Allegany Reservation,True,,0.023673659909439246,GEOMETRYCOLLECTION EMPTY,18635,18635,20181116,O-Open Store,SAVE A LOT,24304,35 CHURCH ST,SALAMANCA,NY,14779,Salamanca,36,9,USA,05-Grocery,1-Supermarket-Limited Assortment,A-1 Store,C-Chain Store,716.0,9452015.0,"06-$4,000,001 to $6,000,000",80,15,21,4,999999,99999,Independent,,,,,85137,Save A Lot,Y,,1191.0
"Rte 11, Nedrow, NY, 13120",,,42.9647593,-76.1406868,True,ROOFTOP,,,,,,Google,POINT (-76.1406868 42.9647593),Yes,Onondaga Nation,Onondaga Nation Reservation,True,,0.01813703811637228,GEOMETRYCOLLECTION EMPTY,1832264,1832264,20181116,O-Open Store,ONONDAGA SMOKE SHOP,,RTE 11,NEDROW,NY,13120,Nedrow,36,67,USA,04-Cigarette Outlet,4-Conventional Cigarette Outlet,A-1 Store,I-Independent Store,315.0,4696932.0,,0,0,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,1168.0
"3741 State Highway 47, Bosque Farms, NM, 87068",,,34.9047099,-106.6813431,True,RANGE_INTERPOLATED,,,,,,Google,POINT (-106.6813431 34.9047099),Yes,Isleta,Isleta Pueblo,True,,0.001228249647594986,GEOMETRYCOLLECTION EMPTY,1468042,1468042,20181116,O-Open Store,LENOS SMOKE SHOP,,3741 STATE HIGHWAY 47,BOSQUE FARMS,NM,87068,Bosque Farms,35,61,USA,04-Cigarette Outlet,4-Conventional Cigarette Outlet,A-1 Store,I-Independent Store,505.0,8693890.0,,0,0,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,893.0
"334 Main St, New Town, ND, 58763",2059.0,61.0,47.979668,-102.48715,True,Exact,"334 MAIN ST, NEW TOWN, ND, 58763",L,38.0,200598157.0,940400.0,Census,POINT (-102.48715 47.979668),Yes,Fort Berthold,Fort Berthold Reservation,True,,0.020398911673242204,GEOMETRYCOLLECTION EMPTY,2016007,2016007,20181116,O-Open Store,LARSEN SERVICE DRUG,1103,334 MAIN ST,NEW TOWN,ND,58763,New Town,38,61,USA,03-Drug,3-Conventional Drug,A-1 Store,I-Independent Store,701.0,6272410.0,"05-$2,000,001 to $4,000,000",60,1,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,843.0
"326 Main St, Lake Andes, SD, 57356",1227.0,23.0,43.156246,-98.54112,True,Exact,"326 MAIN ST, LAKE ANDES, SD, 57356",L,46.0,174514529.0,940200.0,Census,POINT (-98.54112000000001 43.156246),Yes,Yankton,Yankton Reservation,True,,0.002087307255741279,GEOMETRYCOLLECTION EMPTY,390750,390750,20181116,O-Open Store,CAHOYS GENERAL STORE,,326 MAIN ST,LAKE ANDES,SD,57356,Lake Andes,46,23,USA,05-Grocery,5-Supermarket-Conventional,A-1 Store,I-Independent Store,605.0,4877241.0,"05-$2,000,001 to $4,000,000",39,1,24,2,999999,99999,Independent,,,,,555555,No Group Assignment,N,,1621.0
"1130 Michigan Ave, Orofino, ID, 83544",4006.0,35.0,46.4837,-116.24231,True,Exact,"1130 MICHIGAN AVE, OROFINO, ID, 83544",L,16.0,637450009.0,940000.0,Census,POINT (-116.24231 46.4837),Yes,Nez Perce,Nez Perce Reservation,True,,0.02365824328901841,GEOMETRYCOLLECTION EMPTY,111278,111278,20181116,O-Open Store,GLENWOOD IGA MARKET,,1130 MICHIGAN AVE,OROFINO,ID,83544,Orofino,16,35,USA,05-Grocery,5-Supermarket-Conventional,B-2-3 Stores,C-Chain Store,208.0,4763011.0,"05-$2,000,001 to $4,000,000",50,13,35,4,999999,99999,Independent,,,,,85104,IGA,Y,,486.0
