address,block,countyfp,id,lat,lon,match,matchtype,parsed,side,statefp,tigerlineid,tract
"915 W Alameda St, Santa Fe, NM, 87501",,,7541906,35.6893689,-105.9587052,Google,ROOFTOP,,,,,
"319 1st St N, Ulen, MN, 56585",,,1407146,47.0749628,-96.2596166,Google,ROOFTOP,,,,,
"1204 Hwy 371, Gallup, NM, 87301",,,2222404,35.5232681,-108.1331075,Google,ROOFTOP,,,,,
"2465 E Palm Canyon Dr, Palm Springs, CA, 92264",,,2608298,33.8009392,-116.5212327,Google,ROOFTOP,,,,,
"3560 N Zaragoza Rd Ste 207, El Paso, TX, 79938",,,7526884,31.7943958,-106.2312079,Google,ROOFTOP,,,,,
"108 Adams St, Macon, MS, 39341",,,1407273,33.1052989,-88.5610809,Google,RANGE_INTERPOLATED,,,,,
"775 Hwy 59 S, Mahnomen, MN, 56557",,,1407020,47.3218064,-95.9657009,Google,RANGE_INTERPOLATED,,,,,
"121 S 2nd St, Malta, MT, 59538",,,1407803,48.3586784,-107.8713263,Google,ROOFTOP,,,,,
"5987 State Highway 70, Pine City, MN, 55063",,,7412285,45.7671406,-92.9873885,Google,ROOFTOP,,,,,
"1221 E Lynwood Dr, San Bernardino, CA, 92404",,,803333,34.1463417,-117.2604928,Google,ROOFTOP,,,,,
"21509 State Route 410 E, Bonney Lake, WA, 98391",,,7329318,47.168487,-122.1422454,Google,ROOFTOP,,,,,
"12559 Us Highway 101 N, Smith River, CA, 95567",,,1418075,41.9488227,-124.1977239,Google,ROOFTOP,,,,,
"10 Central Ave S, Laporte, MN, 56461",,,3639673,47.2141791,-94.7520701,Google,ROOFTOP,,,,,
"16290 Hwy 13 S, Prior Lake, MN, 55372",,,1407151,44.713156,-93.4236917,Google,ROOFTOP,,,,,
"719 E Main St, Rangely, CO, 81648",,,1397574,40.0873699,-108.795042,Google,ROOFTOP,,,,,
"100 N Church St, Bloomfield, NM, 87413",,,626511,36.7117296,-107.9922127,Google,ROOFTOP,,,,,
"123 S 27th St, Billings, MT, 59101",,,699390,45.7800473,-108.501488,Google,ROOFTOP,,,,,
"727 E Brundage Ln Ste A, Sheridan, WY, 82801",,,5596246,44.774094,-106.944458,Google,ROOFTOP,,,,,
"25 W Main St, Cut Bank, MT, 59427",,,1407825,48.6371138,-112.332962,Google,ROOFTOP,,,,,
"366 S Palm Canyon Dr, Palm Springs, CA, 92262",,,373218,33.8178282,-116.5461479,Google,ROOFTOP,,,,,
"519 State Road 82 W, Mauston, WI, 53948",,,1415974,43.7978144,-90.0658085,Google,ROOFTOP,,,,,
"109 N 1st St 101, La Conner, WA, 98257",,,1955461,48.3927641,-122.4960139,Google,ROOFTOP,,,,,
"119 N Main St, Plentywood, MT, 59254",,,626984,48.7750217,-104.5591356,Google,ROOFTOP,,,,,
"2220 Us Highway 41 S, Marquette, MI, 49855",,,7508888,46.5022575,-87.3626162,Google,ROOFTOP,,,,,
"840 W Main St, Riverton, WY, 82501",,,1416257,43.0247724,-108.402685,Google,ROOFTOP,,,,,
"4794 N Virginia St, Reno, NV, 89506",,,925753,39.5724323,-119.8264136,Google,ROOFTOP,,,,,
"Main St, Eagle Butte, SD, 57625",,,1447562,44.9996164,-101.2347904,Google,GEOMETRIC_CENTER,,,,,
"2000 Paul Bunyan Dr NW, Bemidji, MN, 56601",,,2626128,47.4925124,-94.9078902,Google,ROOFTOP,,,,,
"301 Bridge St, Charlevoix, MI, 49720",,,662819,45.3169371,-85.2590279,Google,ROOFTOP,,,,,
"514 1st St W, Fosston, MN, 56542",,,7219899,47.5795261,-95.7578119,Google,ROOFTOP,,,,,
"1270 Michigan Ave E, Battle Creek, MI, 49014",,,3627704,42.3099857,-85.1200362,Google,RANGE_INTERPOLATED,,,,,
"18341 US Highway 41, LAnse, MI, 49946",,,3952600,46.7319,-88.4245558,Google,GEOMETRIC_CENTER,,,,,
"102 E Main St, Walla Walla, WA, 99362",,,7579322,46.0681002,-118.3368227,Google,ROOFTOP,,,,,
"450 E Main St, Norwich, CT, 63605",,,1396445,41.523429,-72.0664217,Google,ROOFTOP,,,,,
"9341 Us Highway 169, Garrison, MN, 56450",,,2250128,46.291966,-93.8259385,Google,ROOFTOP,,,,,
"117 S Toppenish Ave, Toppenish, WA, 98948",,,623470,46.375458,-120.3115379,Google,ROOFTOP,,,,,
"200 Arlington Mall, Arlington, OR, 97812",,,1412134,45.7184317,-120.202758,Google,ROOFTOP,,,,,
"417 S Tower Ave, Centralia, WA, 98531",,,920449,46.7125842,-122.9561894,Google,ROOFTOP,,,,,
"W5151 38th St, New Lisbon, WI, 53950",,,1647016,43.9086294,-90.0914987,Google,GEOMETRIC_CENTER,,,,,
"411 Main St, Ogema, MN, 56569",,,1425854,47.1029519,-95.9254987,Google,ROOFTOP,,,,,
"201 W Claiborne Ave, Greenwood, MS, 38930",,,1407395,33.523408,-90.1859039,Google,ROOFTOP,,,,,
"101 SE State Highway 38, Effie, MN, 56639",,,7458656,47.8397936,-93.6426728,Google,ROOFTOP,,,,,
"9801 204th Ave E, Bonney Lake, WA, 98391",,,7583265,47.166994,-122.1580319,Google,ROOFTOP,,,,,
"6690 Sturgeon Lake Rd, Welch, MN, 55089",,,2242195,44.630544,-92.670929,Google,ROOFTOP,,,,,
"41817 State Highway 74, Hemet, CA, 92544",,,802404,33.7468263,-116.9322306,Google,ROOFTOP,,,,,
"769 Ponderosa Vlg, Burns, OR, 97720",,,3865797,43.5788055,-119.0703065,Google,ROOFTOP,,,,,
"138 Norwich New London Tpke, Uncasville, CT, 63822",,,1396280,41.4303962,-72.1105451,Google,ROOFTOP,,,,,
"69 N Pine St, Blackfoot, ID, 83221",,,626864,43.1927522,-112.3506154,Google,ROOFTOP,,,,,
"4212 Hwy 281 N, Rolla, ND, 58367",,,1906914,48.8577837,-99.6179216,Google,APPROXIMATE,,,,,
"425 Hwy 264 Ste A, Gallup, NM, 87301",,,1631419,35.6634447,-109.0558111,Google,ROOFTOP,,,,,
"2100 Paul Bunyan Dr NW, Bemidji, MN, 56601",,,7473867,47.4930973,-94.9103852,Google,ROOFTOP,,,,,
"2409 NW Highway 101, Lincoln City, OR, 97367",,,2865447,44.9826281,-124.0077421,Google,ROOFTOP,,,,,
"120 E 18th St, Falls City, NE, 68355",,,2710246,40.0628219,-95.6020178,Google,ROOFTOP,,,,,
"902 S Highway 10 Dr, Lake Park, MN, 56554",,,1425769,46.8773563,-96.0905992,Google,RANGE_INTERPOLATED,,,,,
"3960 Cambridge Rd, Shingle Springs, CA, 95682",,,634239,38.6574715,-120.9985098,Google,RANGE_INTERPOLATED,,,,,
"177 River Ave S, Buckley, WA, 98321",,,1799044,47.1572434,-122.0351774,Google,RANGE_INTERPOLATED,,,,,
"3506 E Route 66, Flagstaff, AZ, 86004",,,509815,35.2157936,-111.5981868,Google,ROOFTOP,,,,,
"174 S Sunrise Way, Palm Springs, CA, 92262",,,1693870,33.821808,-116.527624,Google,ROOFTOP,,,,,
"701 N Huron Ave, Mackinaw City, MI, 49701",,,1425405,45.7863129,-84.7301657,Google,ROOFTOP,,,,,
"211 S Cedar St, Manistique, MI, 49854",,,659522,45.9561398,-86.2462415,Google,ROOFTOP,,,,,
"2409 NW Highway 101, Lincoln City, OR, 97367",,,854340,44.9826281,-124.0077421,Google,ROOFTOP,,,,,
"14916 Highway 16 W, De Kalb, MS, 39328",,,662643,32.7760176,-88.6542627,Google,ROOFTOP,,,,,
"1043 Main St, Forsyth, MT, 59327",,,1407834,46.2663101,-106.6774194,Google,ROOFTOP,,,,,
"3090 W Historic Highway 66, Gallup, NM, 87301",,,769492,35.5083328,-108.818248,Google,ROOFTOP,,,,,
"225 S Main St, Condon, OR, 97823",,,1447923,45.23589,-120.1850864,Google,ROOFTOP,,,,,
"7033 US Hwy 160, Cortez, CO, 81321",,,1466961,37.3122434,-108.6097275,Google,RANGE_INTERPOLATED,,,,,
"12193 Ash River Trl, Orr, MN, 55771",,,2125682,48.3865888,-92.9950992,Google,ROOFTOP,,,,,
"9 E Main St, Lovell, WY, 82431",,,1479462,44.8386,-108.393,Google,ROOFTOP,,,,,
"4112 State Route 105, Tokeland, WA, 98590",,,7507165,46.7250165,-124.0206708,Google,ROOFTOP,,,,,
"2400 Duck Creek Pkwy, Green Bay, WI, 54303",,,7572914,44.5435359,-88.0772263,Google,ROOFTOP,,,,,
"3668 Adobe Rd, Twentynine Palms, CA, 92277",,,802115,34.1872436,-116.0552327,Google,ROOFTOP,,,,,
"957 Emmett St E, Battle Creek, MI, 49014",,,71612,42.3328924,-85.137992,Google,ROOFTOP,,,,,
"142 Highway 212 E, Granite Falls, MN, 56241",,,1407085,44.8057806,-95.5397048,Google,ROOFTOP,,,,,
"4001 2nd Ave W, Williston, ND, 58801",,,7158884,48.1823716,-103.6259993,Google,RANGE_INTERPOLATED,,,,,
"322 N Church Ave, Louisville, MS, 39339",,,7039974,33.1274182,-89.0550289,Google,ROOFTOP,,,,,
"3480 Del Rosa Ave, San Bernardino, CA, 92404",,,803254,34.1534362,-117.2527537,Google,ROOFTOP,,,,,
