IMPAQ_ID,DBA Name,DBA Name_changes,DBA Name_update,Address Line 1,Address Line 1_changes,Address Line 1_update,City,City_changes,City_update,State,State_changes,State_update,Zip,Zip_changes,Zip_update,Latitude,Latitude_changes,Latitude_update,Longitude,Longitude_changes,Longitude_update,Full Address,Full Address_changes,Full Address_update,County,County_changes,County_update,Business Status,Business Status_changes,Business Status_update,On Tribe Land,On Tribe Land_changes,On Tribe Land_update,Address Line 2,matchsource,est_id,found_pic,Manual Result,Coordinates,Miles to Nearest Tribe,Assoc Tribe,Assoc Res,Nearest Tribe,Nearest Res,ori_flg,Owner Name,Owner City,Owner State,Non-Corporate Owned,Niel_id
3009,,,TRIPLE T QUICK STOP,425 S 14TH ST,Correct,425 S 14TH ST,PONCA CITY,Correct,PONCA CITY,OK,Correct,OK,74601,Correct,74601,,,36.69903660000001,,,-97.06702879999999,,,"425 S 14th St, Ponca City, OK, 74601",,Correct,KAY,,In Operation,In Operation,,Yes,Yes,,,,,,POINT (-97.0670288 36.69903660000001),,Kaw/Ponca,Kaw/Ponca joint-use OTSA,,,New Retailer,Thompson Oil Co,Ponca City,OK,N,473657.0
3010,,,THE DOCK SHOP,12301 CROSSTIMERS DR,Correct,12301 CROSSTIMERS DR,SPERRY,Correct,SPERRY,OK,Correct,OK,74073,Correct,74073,,,36.33295089999999,,,-96.1004855,,,"12301 Crosstimers Dr, Sperry, OK, 74073",,Correct,OSAGE,,In Operation,In Operation,,Yes,Yes,,,,,,POINT (-96.1004855 36.33295089999999),,Osage,Osage Reservation,,,New Retailer,Independent,,,N,3886889.0
3011,,,SHORT STOP,200 E HIGHLAND AVE,Correct,200 E HIGHLAND AVE,PONCA CITY,Correct,PONCA CITY,OK,Correct,OK,74601,Correct,74601,,,36.7095065,,,-97.08196109999999,,,"200 E Highland Ave, Ponca City, OK, 74601",,Correct,KAY,,In Operation,In Operation,,Yes,Yes,,,,,,POINT (-97.0819611 36.7095065),,Kaw/Ponca,Kaw/Ponca joint-use OTSA,,,New Retailer,Independent,,,N,647203.0
3012,,,THE HUNGRY WOLF,1699 PAINT TOWN RD,Correct,1699 PAINT TOWN RD,CHEROKEE,Correct,CHEROKEE,NC,Correct,NC,28719,Correct,28719,,,35.4675831,,,-83.27980240000002,,,"1699 Paint Town Rd, Cherokee, NC, 28719",,Correct,JACKSON,,In Operation,In Operation,,Yes,Yes,,,,,,POINT (-83.27980240000002 35.4675831),,Eastern Cherokee,Eastern Cherokee Reservation,,,New Retailer,Independent,,,N,2169583.0
3013,,,TOWN PUMP,50667 US HIGHWAY 93,Correct,50667 US HIGHWAY 93,POLSON,Correct,POLSON,MT,Correct,MT,59860,Correct,59860,,,47.693104,,,-114.13083,,,"50667 Us Highway 93, Polson, MT, 59860",,Correct,LAKE,,In Operation,In Operation,,Yes,Yes,,,,,,POINT (-114.13083 47.693104),,Flathead,Flathead Reservation,,,New Retailer,Town Pump Food St/L Goss,Butte,MT,N,162231.0
3014,,,WATERING HOLE,1006 S MISSION ST,Correct,1006 S MISSION ST,ANADARKO,Correct,ANADARKO,OK,Correct,OK,73005,Correct,73005,,,35.066517,,,-98.25142,,,"1006 S Mission St, Anadarko, OK, 73005",,Correct,CADDO,,In Operation,In Operation,,Yes,Yes,,,,,,POINT (-98.25142 35.066517),,Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware,Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware joint-use OTSA,,,New Retailer,Independent,,,N,1937618.0
3015,,,BJS GAS & GIFT STORE,1607 ACQUONI RD,Correct,1607 ACQUONI RD,CHEROKEE,Correct,CHEROKEE,NC,Correct,NC,28719,Correct,28719,,,35.49356500000001,,,-83.31081,,,"1607 Acquoni Rd, Cherokee, NC, 28719",,Correct,SWAIN,,In Operation,In Operation,,Yes,Yes,,,,,,POINT (-83.31081 35.49356500000001),,Eastern Cherokee,Eastern Cherokee Reservation,,,New Retailer,Independent,,,N,1731899.0
3016,,,FEATHER HILL EXPRESS,53148 HIGHWAY 12,Correct,53148 HIGHWAY 12,NIOBRARA,Correct,NIOBRARA,NE,Correct,NE,68760,Correct,68760,,,42.7330984,,,-97.8821002,,,"53148 Highway 12, Niobrara, NE, 68760",,Correct,KNOX,,In Operation,In Operation,,Yes,Yes,,,,,,POINT (-97.8821002 42.7330984),,Santee,Santee Reservation,,,New Retailer,Independent,,,N,1756702.0
3017,,,EDNAS GRAB N GO,191 CENTER ST,Correct,191 CENTER ST,SALAMANCA,Correct,SALAMANCA,NY,Correct,NY,14779,Correct,14779,,,42.1627,,,-78.743935,,,"191 Center St, Salamanca, NY, 14779",,Correct,CATTARAUGUS,,In Operation,In Operation,,Yes,Yes,,,,,,POINT (-78.74393499999999 42.1627),,Allegany,Allegany Reservation,,,New Retailer,Independent,,,N,1468075.0
3018,,,CUBBYS,701 S 4TH ST,Correct,701 S 4TH ST,PENDER,Correct,PENDER,NE,Correct,NE,68047,Correct,68047,,,42.1067438,,,-96.7079705,,,"701 S 4th St, Pender, NE, 68047",,Correct,THURSTON,,In Operation,In Operation,,Yes,Yes,,,,,,POINT (-96.7079705 42.1067438),,Omaha,Omaha Reservation,,,New Retailer,Cubbys Stores/Conv,Omaha,NE,N,936985.0
3019,,,TRIPLE T QUICK STOP,201 W HARTFORD AVE,Correct,201 W HARTFORD AVE,PONCA CITY,Correct,PONCA CITY,OK,Correct,OK,74601,Correct,74601,,,36.7246373,,,-97.08579399999999,,,"201 W Hartford Ave, Ponca City, OK, 74601",,Correct,KAY,,In Operation,In Operation,,Yes,Yes,,,,,,POINT (-97.08579400000001 36.7246373),,Kaw/Ponca,Kaw/Ponca joint-use OTSA,,,New Retailer,Thompson Oil Co,Ponca City,OK,N,166249.0
3020,,,JICARILLA TRAVEL CENTER,HWY 64 & FOOTHILL ST,Correct,HWY 64 & FOOTHILL ST,DULCE,Correct,DULCE,NM,Correct,NM,87528,Correct,87528,,,36.9342033,,,-106.99115829999998,,,"Hwy 64 & Foothill St, Dulce, NM, 87528",,Correct,RIO ARRIBA,,In Operation,In Operation,,Yes,Yes,,,,,,POINT (-106.9911583 36.9342033),,Jicarilla Apache Nation,Jicarilla Apache Nation Reservation,,,New Retailer,Independent,,,N,7049503.0
3021,,,CARMEN GROCERY,10705 HIGHWAY 23,Correct,10705 HIGHWAY 23,NEW TOWN,Correct,NEW TOWN,ND,Correct,ND,58763,Correct,58763,,,47.9759138,,,-102.7352236,,,"10705 Highway 23, New Town, ND, 58763",,Correct,MCKENZIE,,In Operation,In Operation,,Yes,Yes,,,,,,POINT (-102.7352236 47.9759138),,Fort Berthold,Fort Berthold Reservation,,,New Retailer,Independent,,,N,7365659.0
3022,,,HOP & SACK,305 E 4TH ST,Correct,305 E 4TH ST,CARNEGIE,Correct,CARNEGIE,OK,Correct,OK,73015,Correct,73015,,,35.10181,,,-98.598366,,,"305 E 4th St, Carnegie, OK, 73015",,Correct,CADDO,,In Operation,In Operation,,Yes,Yes,,,,,,POINT (-98.598366 35.10181),,Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware,Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware joint-use OTSA,,,New Retailer,Hop & Sack Inc,Lawton,OK,N,96710.0
3023,,,CHEVRON RIO CHAMA,19698 HWY 84 285,Correct,19698 HWY 84 285,ESPANOLA,Correct,ESPANOLA,NM,Correct,NM,87532,Correct,87532,,,35.99057600000001,,,-106.07981299999999,,,"19698 Hwy 84 285, Espanola, NM, 87532",,Correct,RIO ARRIBA,,In Operation,In Operation,,Yes,Yes,,,,,,POINT (-106.079813 35.99057600000001),,Santa Clara,Santa Clara Pueblo,,,New Retailer,Independent,,,Y,1613857.0
3024,,,SHORT STOP,400 E SOUTH AVE,Correct,400 E SOUTH AVE,PONCA CITY,Correct,PONCA CITY,OK,Correct,OK,74601,Correct,74601,,,36.69523,,,-97.08015999999999,,,"400 E South Ave, Ponca City, OK, 74601",,Correct,KAY,,In Operation,In Operation,,Yes,Yes,,,,,,POINT (-97.08016000000001 36.69523),,Kaw/Ponca,Kaw/Ponca joint-use OTSA,,,New Retailer,Independent,,,N,1439952.0
