IMPAQ_ID,Longitude_update,Latitude_update,County_update
139,-111.86972800000001,33.538588,Maricopa
140,-109.08707,36.92075,Apache
141,-111.9090488,40.84253579999999,Davis
142,-110.9613971,32.1190952,Pima
143,-111.050357,31.614077,Santa Cruz
144,-111.327669,34.219165999999994,Gila
145,-109.25042179999998,36.4130308,Apache
146,-114.596465,35.035154,Mohave
147,-111.2291577,36.11837810000001,Coconino
148,-111.25538600000002,35.167304,Coconino
149,-112.047947,33.026944,Pinal
150,-114.281126,34.15379,La Paz
151,-112.0731136,33.028194,Pinal
152,-114.64986200000001,32.609089000000004,Yuma
153,-114.598415,34.918842,Mohave
154,-111.74426409999998,33.0814338,Pinal
155,-111.6751896,33.637305100000006,Maricopa
156,-111.04990359999998,31.6143292,Santa Cruz
157,-111.864528,33.465721,Maricopa
158,-111.908419,33.451256,Maricopa
159,-112.465404,34.547553,Yavapai
160,-111.8534279,34.5552703,Yavapai
161,-114.61588700000001,32.698056,Yuma
162,-114.287874,34.145776,La Paz
163,-110.96077199999999,32.11880900000001,Pima
164,-111.892068,34.626807,Yavapai
165,-112.47943899999999,34.560699,Yavapai
166,-112.486263,34.522648,Yavapai
167,-112.47463700000002,34.551513,Yavapai
168,-116.3554312,32.70154989,San Diego
169,-116.88485459999998,32.78638292,San Diego
170,-116.8296229,32.7861973,San Diego
171,-116.85504660000001,32.94182886,San Diego
172,-117.0742487,33.3649061,San Diego
173,-117.0846863,33.363181899999994,San Diego
174,-116.98606370000002,33.33244773,San Diego
175,-117.029646,33.95390575,Riverside
176,-116.8049271,33.92162861,Riverside
177,-116.7998288,33.91962665,Riverside
178,-116.458566,33.813726,Riverside
179,-116.45752379999999,33.81549109,Riverside
180,-116.5434719,33.82663921,Riverside
181,-116.52881310000001,33.8438737,Riverside
182,-116.54528859999999,33.80469024,Riverside
183,-116.54572160000001,33.80752872,Riverside
184,-116.522275,33.79968101,Riverside
185,-116.5462962,33.8146534,Riverside
186,-116.40801609999998,33.81451083,Riverside
187,-116.1193877,33.54071224,Riverside
188,-114.61869779999999,32.73626623,Imperial
189,-114.63470600000001,32.73870585,Imperial
190,-114.40375,34.483036,San Bernardino
191,-116.9317817,33.80028404,Riverside
192,-117.1077876,33.453487,Riverside
193,-120.0867442,34.6086144,Santa Barbara
194,-118.4273466,37.37575324,Inyo
195,-118.229681,36.836419,Inyo
196,-119.69961470000001,37.21307654,Madera
197,-119.6396518,36.9846104,Fresno
198,-122.91697020000001,39.16357463,Lake
199,-122.9166469,39.16335561,Lake
200,-124.1007452,40.92670798,Humboldt
201,-123.9977991,40.8845428,Humboldt
202,-124.1884116,41.75292881,Del Norte
203,-122.142141,38.73433000000001,Yolo
204,-122.1430328,38.7380249,Yolo
205,-120.934579,38.35275781,Amador
206,-120.93467690000001,38.35289739,Amador
207,-120.7386354,38.38584162,Amador
208,-120.908747,38.695485,El Dorado
209,-122.0309603,39.254081,Colusa
210,-121.5194118,39.46710052,Butte
211,-121.5156256,39.46728938,Butte
212,-122.3808004,40.52929876,Shasta
213,-120.657594,40.430563,Lassen
214,-122.8402176,38.65970993,Sonoma
215,-120.08175659999999,34.61127853,Santa Barbara
216,-120.04661999999999,35.890621,Kings
217,-123.2486746,39.7999204,Mendocino
218,-122.38271329999999,40.50691605,Shasta
219,-122.90423999999999,39.16,Lake
220,-119.7097473,37.2105013,Madera
221,-123.214678,39.256093,Mendocino
222,-116.8658101,36.4564829,Inyo
223,-122.8590821,38.7034313,Sonoma
224,-124.197726,41.760181,Del Norte
225,-124.153976,41.758274,Del Norte
226,-122.707554,38.362348,Sonoma
227,-120.151642,41.8639609,Modoc
228,-120.945944,40.1434,Plumas
229,-122.90471699999999,39.161643,Lake
230,-122.911193,39.162248999999996,Lake
231,-116.475197,33.815996000000005,Riverside
232,-116.506618,33.8231465,Riverside
233,-116.545652,33.807462,Riverside
234,-116.545556,33.813832,Riverside
235,-116.52813,33.822219,Riverside
236,-116.53373500000001,33.783165999999994,Riverside
237,-116.53251000000002,33.78348,Riverside
238,-116.527624,33.821808000000004,Riverside
239,-116.545556,33.813832,Riverside
240,-116.528153,33.823479999999996,Riverside
241,-116.540218,33.822607,Riverside
242,-116.52831599999999,33.816829999999996,Riverside
243,-116.52826599999999,33.846619,Riverside
244,-116.45813999999999,33.788163,Riverside
245,-116.545548,33.827090999999996,Riverside
246,-116.5049769,33.84545629999999,Riverside
247,-116.5427754,33.82548999999999,Riverside
248,-116.456484,33.815868,Riverside
249,-116.523746,33.844106,Riverside
250,-116.525349,33.844752,Riverside
251,-120.524758,41.479966999999995,Modoc
252,-116.199184,33.656515,Riverside
253,-124.208304,40.627866,Humboldt
254,-124.2097669,40.6263469,Humboldt
255,-121.41728970000001,38.47066879,Sacramento
256,-121.50634299999999,39.50542700000001,Butte
257,-119.465208,37.083933,Fresno
258,-122.88743600000001,39.021039,Lake
259,-123.99892,40.884426,Humboldt
260,-123.9981255,40.88406200000001,Humboldt
261,-116.1935467,33.7211771,Riverside
262,-123.4805264,39.6861481,Mendocino
263,-123.482039,39.687388,Mendocino
264,-123.497524,39.669666,Mendocino
265,-116.7408142,33.540582,Riverside
266,-116.7408142,33.540582,Riverside
267,-116.73506200000001,33.54793,Riverside
268,-116.35529299999999,32.701999,San Diego
269,-116.35529299999999,32.701999,San Diego
270,-116.8692128,32.934222,San Diego
271,-116.87359779999998,32.9389966,San Diego
272,-116.68339099999999,32.846992,San Diego
273,-116.70861799999999,32.840502,San Diego
274,-120.18146899999999,41.529257,Modoc
275,-124.10075800000001,40.926553999999996,Humboldt
276,-124.139451,41.061471000000004,Humboldt
277,-120.452327,37.929541,Tuolumne
278,-114.634752,32.738456,Imperial
279,-114.616104,32.76031,Imperial
280,-114.720349,32.741478,Imperial
281,-122.38191499999999,40.507064,Shasta
282,-122.881924,39.140124,Lake
283,-121.76408390000002,38.56085968,Yolo
284,-123.248102,39.80072,Mendocino
285,-123.2486746,39.7999204,Mendocino
286,-117.227043,34.151007,San Bernardino
287,-116.9728347,33.2191336,San Diego
288,-119.767027,36.23849000000001,Kings
289,-120.08172900000001,34.610525,Santa Barbara
290,-120.0867442,34.6086144,Santa Barbara
291,-120.081721,34.611090000000004,Santa Barbara
292,-123.361302,39.394797,Mendocino
293,-124.202854,41.956882,Del Norte
294,-124.2035581,41.95751799999999,Del Norte
295,-116.917965,33.781952000000004,Riverside
296,-116.931694,33.800231,Riverside
297,-120.657594,40.430563,Lassen
298,-120.656621,40.431218,Lassen
299,-120.656348,40.431215,Lassen
300,-116.8296229,32.7861973,San Diego
301,-116.873346,32.780713,San Diego
302,-116.9616613,32.81942999999999,San Diego
303,-119.6396518,36.9846104,Fresno
304,-123.67432,41.049728,Humboldt
305,-123.68656000000001,41.06282,Humboldt
306,-123.67432,41.049728,Humboldt
307,-116.6412888,33.55615616,Riverside
308,-123.058151,38.985113,Mendocino
309,-120.935676,38.353983,Amador
310,-120.932276,38.352856,Amador
311,-120.73363,38.362338,Amador
312,-120.7366883,38.3740693,Amador
313,-123.3760249,41.79553739999999,Siskiyou
314,-123.3737095,41.79937290000001,Siskiyou
315,-123.376728,41.799537,Siskiyou
316,-116.8536711,33.2767341,San Diego
317,-122.33368600000001,37.953154,Contra Costa
318,-123.69082900000001,38.938689000000004,Mendocino
319,-122.624582,38.732447,Lake
320,-121.51609199999999,39.466712,Butte
321,-121.51893600000001,39.46703400000001,Butte
322,-121.51598600000001,39.466460999999995,Butte
323,-116.80112199999999,33.919906,Riverside
324,-117.029723,33.953086,Riverside
325,-116.80483400000001,33.921547,Riverside
326,-118.427221,37.375806,Inyo
327,-118.42286299999999,37.375795000000004,Inyo
328,-117.0846863,33.363181899999994,San Diego
329,-117.0871547,33.3642706,San Diego
330,-122.200657,39.875848,Tehama
331,-122.200657,39.875848,Tehama
332,-116.9914067,33.3300826,San Diego
333,-117.10448400000001,33.452645000000004,Riverside
