IMPAQ_ID,Longitude_update,Latitude_update
0,-86.26177941,32.38409418
1,-87.52319321,31.07536691
2,-86.34399543,32.33069244
3,-87.48084617,31.02420487
4,-87.48272393,31.1018916
5,-86.22338736,32.3493084
6,-87.48397,31.103343
7,-87.496241,31.029988
8,-86.1389085,32.4245456
9,-86.20896839999996,32.525877
10,-86.209727,32.525201
11,-87.538763,31.086001
12,-86.139049,32.361886
13,-87.2146681,30.443291100000003
14,-86.268651,32.420231
15,-111.5274097,35.59349220000001
16,-111.82805,36.040386
17,-114.4003922,33.99004826
18,-114.2885119,34.15008385
19,-114.2902916,34.15209361
20,-114.2898102,34.15131721
21,-114.22585359999998,34.18554032
22,-114.286023,34.14518762
23,-114.2193001,34.19988831
24,-111.6860213,33.30726283
25,-111.88208329999999,33.5527669
26,-114.5972987,34.89854629999999
27,-114.5999112,34.86571936
28,-112.432604,34.548957
29,-114.6499024,32.6107858
30,-111.7838075,34.6408638
31,-114.59839129999999,34.90928220000001
32,-111.89118,33.494434000000005
33,-112.4370422,34.54984283
34,-111.8432007,33.4665184
35,-111.236398,36.125297
36,-111.6327896,33.39215469
37,-111.4552002,36.90800476
38,-115.17282150000001,36.0572398
39,-111.236398,36.125297
40,-109.61797,36.352802
41,-111.86645,33.218227
42,-111.6406555,33.83747101
43,-111.677533,33.579136
44,-109.4847788,36.123495
45,-114.2896637,34.147022
46,-110.2168,36.097988
47,-109.5837222,36.1600059
48,-109.05714,35.663395
49,-111.22923,36.119339
50,-110.24722,36.707718
51,-110.32995,35.3899
52,-110.4598291,33.2996419
53,-111.3050308,33.84178543
54,-90.9904114,30.253857
56,-114.265928,34.165634999999995
57,-112.447267,34.551122
58,-109.54221,35.708923
59,-111.4111723,35.8747553
60,-110.0235992,33.7907629
61,-111.883321,33.453694
62,-109.43256609999999,35.19066729999999
63,-109.4847788,36.123495
64,-111.859864,34.609814
65,-109.5772545,36.1593205
66,-114.28594450000001,34.1445607
67,-114.220454,34.200094
68,-111.861566,34.609855
69,-114.65077759999998,32.6077303
70,-114.3254395,34.51117706
71,-110.2168,36.097988
72,-110.7913107,36.5940509
73,-111.08061,32.133403
74,-110.988419,32.00134
75,-110.960733,32.118025
76,-112.72644540000002,32.244112699999995
77,-114.604987,34.857661
78,-110.247273,36.707734
79,-113.9583969,32.69621277
80,-109.62596,36.718056
81,-109.081382,35.749465
82,-110.9264679,32.27225113
83,-109.26499,36.405575
84,-111.5077438,33.19104767
85,-109.58318,36.160393
86,-110.08018,35.561756
87,-111.2293946,36.1186506
88,-109.34819,35.716286
89,-111.74252,33.080208
90,-109.964432,33.838466
91,-112.050679,33.023989
92,-112.58916,36.202927
93,-109.945519,34.128693
94,-109.9047824,34.0789184
95,-110.09013,34.974003
96,-114.019826,35.191274
97,-109.54173,35.708965
98,-114.2799,34.154339
99,-110.79127,36.594013
100,-110.19708,35.811424
101,-112.73518680000001,36.8584803
102,-111.0919828,36.585975399999995
103,-110.25629,36.724678
104,-110.194493,35.8126342
105,-109.0947342,32.74714279
106,-110.9812698,31.90965271
107,-109.4255598,36.9622651
108,-114.606775,34.855054
109,-111.0992203,32.3482933
110,-110.10954,33.11953
111,-109.54133030000001,35.12820990000001
112,-109.05714,35.663395
113,-113.7672119,33.63458252
114,-111.4247976,35.8540888
115,-114.61543,32.7336016
116,-111.005868,35.295355
117,-109.56301,36.155704
118,-114.6158669,32.7339378
119,-111.2402261,36.1301926
120,-111.2292394,36.1193329
121,-109.3811488,36.962466
122,-109.06083570000001,36.603975899999995
123,-109.8716963,36.413646
124,-109.47555,36.510914
125,-109.09013,35.862209
126,-109.957448,33.785509999999995
127,-110.64262,36.593254
128,-111.4254564,35.8532816
129,-109.21667,36.311554
130,-110.2480789,36.7063628
131,-109.04824709999998,35.3629829
132,-111.42795220000001,35.850496299999996
133,-114.598969,34.907579199999994
134,-109.04787,35.36343400000001
135,-109.5379833,35.7106173
136,-109.5640136,33.9736553
137,-111.22491570000001,36.12175089999999
138,-114.597786,34.85243
139,-111.869728,33.538588
140,-109.08707,36.92075
141,-111.9090488,40.84253579999999
142,-110.96139709999999,32.1190952
143,-111.050357,31.614077
144,-111.327669,34.219165999999994
145,-109.25042179999998,36.413030799999994
146,-114.596465,35.035154
147,-111.2291577,36.11837810000001
148,-111.25538600000002,35.167304
149,-112.047947,33.026944
150,-114.281126,34.15379
151,-112.0731136,33.028194
152,-114.649862,32.609089000000004
153,-114.59841499999999,34.918842
154,-111.74426409999998,33.0814338
155,-111.6751896,33.637305100000006
156,-111.04990359999998,31.6143292
157,-111.864528,33.465721
158,-111.908419,33.451256
159,-112.465404,34.547553
160,-111.85342790000001,34.5552703
161,-114.615887,32.698056
162,-114.287874,34.145776
163,-110.960772,32.11880900000001
164,-111.892068,34.626807
165,-112.479439,34.560699
166,-112.486263,34.522648
167,-112.47463700000002,34.551513
168,-116.3554312,32.70154989
169,-116.88485459999998,32.78638292
170,-116.8296229,32.7861973
171,-116.8550466,32.94182886
172,-117.0742487,33.3649061
173,-117.08468629999999,33.363181899999994
174,-116.98606370000002,33.33244773
175,-117.029646,33.95390575
176,-116.8049271,33.92162861
177,-116.7998288,33.91962665
178,-116.45856599999999,33.813726
179,-116.4575238,33.81549109
180,-116.5434719,33.82663921
181,-116.5288131,33.8438737
182,-116.5452886,33.80469024
183,-116.5457216,33.80752872
184,-116.522275,33.79968101
185,-116.5462962,33.8146534
186,-116.40801609999998,33.81451083
187,-116.1193877,33.54071224
188,-114.6186978,32.73626623
189,-114.634706,32.73870585
190,-114.40375,34.483036
191,-116.9317817,33.80028404
192,-117.1077876,33.453487
193,-120.0867442,34.6086144
194,-118.4273466,37.37575324
195,-118.229681,36.836419
196,-119.6996147,37.21307654
197,-119.6396518,36.9846104
198,-122.9169702,39.16357463
199,-122.9166469,39.16335561
200,-124.1007452,40.92670798
201,-123.9977991,40.8845428
202,-124.1884116,41.75292881
203,-122.142141,38.73433000000001
204,-122.1430328,38.7380249
205,-120.934579,38.35275781
206,-120.9346769,38.35289739
207,-120.7386354,38.38584162
208,-120.90874699999999,38.695485
209,-122.03096029999999,39.254081
210,-121.5194118,39.46710052
211,-121.5156256,39.46728938
212,-122.3808004,40.52929876
