Unnamed: 0,IMPAQ_ID,DBA Name,DBA Name_changes,DBA Name_update,Address Line 1,Address Line 1_changes,Address Line 1_update,City,City_changes,City_update,State,State_changes,State_update,Zip,Zip_changes,Zip_update,Latitude,Latitude_changes,Latitude_update,Longitude,Longitude_changes,Longitude_update,Full Address,Full Address_changes,Full Address_update,County,County_changes,County_update,Address Line 2,matchsource,est_id,found_pic,Manual Result,biz_status,Coordinates,On Tribe Land,Miles to Nearest Tribe,Assoc Tribe,Assoc Res,Nearest Tribe,Nearest Res,ori_flg,Owner Name,Owner City,Owner State,Non-Corporate Owned,Niel_id,Manual Validation Flag,SoS_record,URL,entity,agent_name,store_address,agent_address,agent_city,agent_state,agent_zip
632,632,CVS / PHARMACY,Correct,CVS / PHARMACY,4050 DEAN LAKES BLVD.,Correct,4050 DEAN LAKES BLVD.,SHAKOPEE,Correct,SHAKOPEE,MN,Correct,MN,55379,Correct,55379,44.77849953,Correct,44.77849953,-93.46867616,Correct,-93.46867616,"4050 DEAN LAKES BLVD.  SHAKOPEE, MN 55379",Correct,"4050 DEAN LAKES BLVD. SHAKOPEE, MN 55379",,Correct,SCOTT,,Original,632.0,,,Active,POINT (-93.46867616 44.77849953),No,0.178808615,,,Shakopee Mdewakanton Sioux,Shakopee Mdewakanton Sioux Off-Reservation Trust Land,From Original List,,,,,,,556395-2,https://mblsportal.sos.state.mn.us/Business/SearchDetails?filingGuid=1c9574a3-86d4-e011-a886-001ec94ffe7f,"CVS Pharmacy, Inc.",CT Corporation System Inc,,1010 DALE ST N ST PAUL MN 55117–5603 USA,St Paul,MN,55117
638,638,HOLIDAY,Correct,HOLIDAY,3901 EAGLE CREEK BLVD.,3901 EAGLE CREEK BLVD,3901 EAGLE CREEK BLVD,SHAKOPEE,Correct,SHAKOPEE,MN,Correct,MN,55379,55378,55378,44.77990247,44.77966,44.77966,-93.47057372,-93.4704092,-93.4704092,"3901 EAGLE CREEK BLVD.  SHAKOPEE, MN 55379","3901 Eagle Creek Blvd, Shakopee, MN 55378, USA","3901 Eagle Creek Blvd, Shakopee, MN 55378, USA",,Correct,SCOTT,,Original,638.0,1.0,yes,Active,POINT (-93.47040920000001 44.77966),No,0.259874408,,,Shakopee Mdewakanton Sioux,Shakopee Mdewakanton Sioux Off-Reservation Trust Land,From Original List,,,,,,,,,,,,,,,
640,640,KWIK TRIP # 441,Can't Validate,KWIK TRIP # 441,1522 VIERLING DR. E.,Can't Validate,1522 VIERLING DR. E.,SHAKOPEE,Can't Validate,SHAKOPEE,MN,Can't Validate,MN,55379,Can't Validate,55379,44.78051401,Can't Validate,44.78051401,-93.50419937,Can't Validate,-93.50419937,"1522 VIERLING DR. E.  SHAKOPEE, MN 55379",Can't Validate,"1522 VIERLING DR. E. SHAKOPEE, MN 55379",,Can't Validate,SCOTT,,Original,640.0,,,Can't Validate,POINT (-93.50419936999999 44.78051401),No,2.231130116,,,Shakopee Mdewakanton Sioux,Shakopee Mdewakanton Sioux Off-Reservation Trust Land,From Original List,,,,,,,697202700048,https://mblsportal.sos.state.mn.us/Business/SearchDetails?filingGuid=93966cff-5616-e311-8e3a-001ec94ffe7f,Kwik Trip #441,,"1522 Vierling Dr E
Shakopee, MN 55379
USA",,,,
643,643,RIVERSIDE LIQUORS,Correct,RIVERSIDE LIQUORS,507 1ST AVE. E.,Correct,507 1ST AVE. E.,SHAKOPEE,Correct,SHAKOPEE,MN,Correct,MN,55379,Correct,55379,44.79967856,Correct,44.79967856,-93.52062098,Correct,-93.52062098,"507 1ST AVE. E.  SHAKOPEE, MN 55379",Correct,"507 1ST AVE. E. SHAKOPEE, MN 55379",,Correct,SCOTT,,Original,643.0,,,Active,POINT (-93.52062098 44.79967856),No,3.6821071219999997,,,Shakopee Mdewakanton Sioux,Shakopee Mdewakanton Sioux Off-Reservation Trust Land,From Original List,,,,,,,2E-437,https://mblsportal.sos.state.mn.us/Business/SearchDetails?filingGuid=cadbd47e-a8d4-e011-a886-001ec94ffe7f,"Riverside Liquors, Inc.",(Optional) Currently No Agent,,507 E 1ST AVE SHAKOPEE MN 55379 USA,Shakopee,MN,55379
650,650,TOBACCO EXPRESS,Correct,TOBACCO EXPRESS,1148 VIERLING DR. E.,Correct,1148 VIERLING DR. E.,SHAKOPEE,Correct,SHAKOPEE,MN,Correct,MN,55379,Correct,55379,44.78100864,Correct,44.78100864,-93.50911866,Correct,-93.50911866,"1148 VIERLING DR. E.  SHAKOPEE, MN 55379",Correct,"1148 VIERLING DR. E. SHAKOPEE, MN 55379",,Correct,SCOTT,,Original,650.0,,,Active,POINT (-93.50911866 44.78100864),No,2.324758631,,,Shakopee Mdewakanton Sioux,Shakopee Mdewakanton Sioux Off-Reservation Trust Land,From Original List,,,,,,,12K-499,https://mblsportal.sos.state.mn.us/Business/SearchDetails?filingGuid=9a8c62e1-abd4-e011-a886-001ec94ffe7f,Tobacco Express Inc.,Ayman Shahin,,1148 VIERLING DR E SHAKOPEE MN 55379 USA,Shakopee,MN,55379
651,651,TOP STAR MARKET,Correct,TOP STAR MARKET,615 MARSCHALL RD. S,Correct,615 MARSCHALL RD. S,SHAKOPEE,Correct,SHAKOPEE,MN,Correct,MN,55379,Correct,55379,44.79326639,Correct,44.79326639,-93.50749987,Correct,-93.50749987,"615 MARSCHALL RD. S  SHAKOPEE, MN 55379",Correct,"615 MARSCHALL RD. S SHAKOPEE, MN 55379",,Correct,SCOTT,,Original,651.0,,,Active,POINT (-93.50749987 44.79326639),No,2.7282836930000003,,,Shakopee Mdewakanton Sioux,Shakopee Mdewakanton Sioux Off-Reservation Trust Land,From Original List,,,,,,,895135600035,https://mblsportal.sos.state.mn.us/Business/SearchDetails?filingGuid=d6f306b5-1849-e611-816b-00155d01c56d,"Top Star Market, LLC",Adel Taweeleh,,615 MARSHALL RD SHAKOPEE MN 55379 USA,Shakopee,MN,55379
652,652,TURTLES BAR & GRILL,Correct,TURTLES BAR & GRILL,132 1ST AVE. E.,Correct,132 1ST AVE. E.,SHAKOPEE,Correct,SHAKOPEE,MN,Correct,MN,55379,Correct,55379,44.79853642,Correct,44.79853642,-93.5262957,Correct,-93.5262957,"132 1ST AVE. E.  SHAKOPEE, MN 55379",Correct,"132 1ST AVE. E. SHAKOPEE, MN 55379",,Correct,SCOTT,,Original,652.0,,,Active,POINT (-93.52629570000001 44.79853642),No,3.803235351,,,Shakopee Mdewakanton Sioux,Shakopee Mdewakanton Sioux Off-Reservation Trust Land,From Original List,,,,,,,6Q-697,https://mblsportal.sos.state.mn.us/Business/SearchDetails?filingGuid=27a0763f-b7d4-e011-a886-001ec94ffe7f,TURTLE'S BAR AND GRILL INC.,Bryan M Turtle,,132 1ST AVE E SHAKOPEE MN 55379 USA,Shakopee,MN,55379
655,655,WAL-MART,Correct,WAL-MART,8101 OLD CARRIAGE COURT,8101 OLD CARRIAGE CT,8101 OLD CARRIAGE CT,SHAKOPEE,Correct,SHAKOPEE,MN,Correct,MN,55379,Correct,55379,44.77867939,44.7793751,44.7793751,-93.41698314,-93.4180149,-93.4180149,"8101 OLD CARRIAGE COURT  SHAKOPEE, MN 55379","8101 Old Carriage Ct, Shakopee, MN 55379, USA","8101 Old Carriage Ct, Shakopee, MN 55379, USA",,Correct,SCOTT,,Original,655.0,1.0,yes,Active,POINT (-93.4180149 44.7793751),No,1.5742483669999998,,,Shakopee Mdewakanton Sioux,Shakopee Mdewakanton Sioux Off-Reservation Trust Land,From Original List,,,,,,,32475,https://mblsportal.sos.state.mn.us/Business/SearchDetails?filingGuid=c75bd95f-add4-e011-a886-001ec94ffe7f,Walmart Inc.,C T Corporation System Inc,,1010 DALE ST N ST PAUL MN 55117–5603 USA,St Paul,MN,55117
656,656,MAX MINI STORE,Correct,MAX MINI STORE,50758 STATE HWY. 46,50758 -46,50758 -46,SQUAW LAKE,Correct,SQUAW LAKE,MN,Correct,MN,56681,Correct,56681,47.61433135,47.6123038,47.61230379999999,-94.12902972,-94.1266067,-94.1266067,"50758 STATE HWY. 46  SQUAW LAKE, MN 56681","50758 MN-46, Squaw Lake, MN 56681, USA","50758 MN-46, Squaw Lake, MN 56681, USA",,Correct,ITASCA,,Original,656.0,,,Active,POINT (-94.1266067 47.61230379999999),Yes,0.0,Leech Lake,Leech Lake Reservation,,,From Original List,,,,,,,9C-344,https://mblsportal.sos.state.mn.us/Business/SearchDetails?filingGuid=8cfc2787-b7d4-e011-a886-001ec94ffe7f,"Max Mini Store, Inc.",(Optional) Currently No Agent,,50758 MICHALEK RD SQUAW LAKE MN 56681 USA,Squaw Lake,MN,56681
657,657,Duff's Tavern on Main,Correct,Duff's Tavern on Main,108 MAIN ST. E.,Correct,108 MAIN ST. E.,VERMILLION,Correct,VERMILLION,MN,Correct,MN,55085,Correct,55085,44.67365654,Correct,44.67365654,-92.96512792,Correct,-92.96512792,"108 MAIN ST. E.  VERMILLION, MN 55085",Correct,"108 MAIN ST. E. VERMILLION, MN 55085",,Correct,DAKOTA,,Original,657.0,,,Active,POINT (-92.96512792 44.67365654),No,12.70449714,,,Prairie Island,Prairie Island Off-Reservation Trust Land,From Original List,,,,,,,2474001-2,https://mblsportal.sos.state.mn.us/Business/SearchDetails?filingGuid=4238044d-90d4-e011-a886-001ec94ffe7f,"DUFF'S TAVERN ON MAIN, LLC",(Optional) Currently No Agent,,1014 W 2ND ST HASTINGS MN 55033 USA,Hastings,MN,55033
