id,address,match,matchtype,parsed,tigerlineid,side,statefp,countyfp,tract,block,lat,lon
763592.0,"1429 E Main St, El Cajon, CA, 92021",True,Non_Exact,"1429 E MAIN ST, EL CAJON, CA, 92021",634238262,R,06,073,016402,4009,32.800655,-116.929985
1424810.0,"9105 Helena Rd, Alden, MI, 49612",True,Exact,"9105 HELENA RD, ALDEN, MI, 49612",145825362,R,26,009,960500,2075,44.881226,-85.27466
558093.0,"5268 Us Highway 231, Wetumpka, AL, 36092",False,,,,,,,,,,
1416299.0,"1842 Sugarland Dr Ste 105, Sheridan, WY, 82801",True,Exact,"1842 SUGARLAND DR, SHERIDAN, WY, 82801",147405898,R,56,033,000100,1061,44.783863,-106.94247
7441618.0,"2216 Highway 82 E, Greenwood, MS, 38930",False,,,,,,,,,,
7555887.0,"1750 S Railroad Springs Blvd, Flagstaff, AZ, 86001",False,,,,,,,,,,
1399916.0,"2546 Olive Hwy, Oroville, CA, 95966",True,Exact,"2546 OLIVE HWY, OROVILLE, CA, 95966",68421778,L,06,007,003001,2000,39.50634,-121.54505
672578.0,"13789 Highway 8 Business, El Cajon, CA, 92021",False,,,,,,,,,,
367219.0,"1540 E Highland Ave, San Bernardino, CA, 92404",True,Non_Exact,"1540 E HIGHLAND AVE, SAN BERNARDINO, CA, 92404",144656150,L,06,071,006204,2004,34.135868,-117.25382
2169373.0,"10855 Double R Blvd Ste E, Reno, NV, 89521",True,Exact,"10855 DOUBLE R BLVD, RENO, NV, 89521",107094774,R,32,031,002208,1026,39.425564,-119.75046
7562880.0,"1221 S San Jacinto Ave, San Jacinto, CA, 92583",False,,,,,,,,,,
1428615.0,"800 N Zaragoza Rd, El Paso, TX, 79907",False,,,,,,,,,,
1406880.0,"208 Wall St S, Onamia, MN, 56359",False,,,,,,,,,,
7465442.0,"9400 State Road 16, Onalaska, WI, 54650",False,,,,,,,,,,
7428003.0,"1401 River Rd, Greenwood, MS, 38930",True,Exact,"1401 RIVER RD, GREENWOOD, MS, 38930",1055417,R,28,083,950700,3009,33.518265,-90.19856
1942297.0,"2418 N Pine Ave, Heidelberg, MS, 39439",True,Non_Exact,"2418 N PINE AVE, HEIDELBERG, MS, 39439",155421,L,28,061,950400,2010,31.963865,-89.105034
1975669.0,"1622 Bienville Blvd, Ocean Springs, MS, 39564",False,,,,,,,,,,
2072680.0,"795 Wilson St, Wetumpka, AL, 36092",True,Exact,"795 WILSON ST, WETUMPKA, AL, 36092",1363499,L,01,051,030702,1032,32.528522,-86.20536
1445145.0,"1102 First St E, Park Rapids, MN, 56470",False,,,,,,,,,,
1653817.0,"12853 US Highway 31 N, Charlevoix, MI, 49720",True,Non_Exact,"12853 US HWY 31 N, CHARLEVOIX, MI, 49720",134492376,L,26,029,000400,2044,45.326912,-85.23446
770214.0,"902 N Navajo Dr, Page, AZ, 86040",True,Non_Exact,"902 S NAVAJO DR, PAGE, AZ, 86040",188932059,R,04,005,002100,5001,36.916847,-111.45104
1759924.0,"195 Taylor Way, Blue Lake, CA, 95525",True,Exact,"195 TAYLOR WAY, BLUE LAKE, CA, 95525",113025571,R,06,023,010300,3049,40.878727,-123.99403
624768.0,"213 Central Ave, Norwich, CT, 63603",True,Non_Exact,"213 CENTRAL AVE, NORWICH, CT, 06360",56846671,R,09,011,696400,3010,41.533485,-72.056694
125873.0,"1301 S Main St, Yreka, CA, 96097",False,,,,,,,,,,
7607359.0,"192 W 200 S, Kamas, UT, 84036",False,,,,,,,,,,
1865023.0,"8008 Farley Dr NE, Bemidji, MN, 56601",True,Exact,"8008 FARLEY DR NE, BEMIDJI, MN, 56601",638856639,L,27,007,450300,1077,47.59907,-94.76188
1399346.0,"1400 S Palm Canyon Dr, Palm Springs, CA, 92264",False,,,,,,,,,,
802419.0,"27250 Baseline St, Highland, CA, 92346",True,Exact,"27250 BASELINE ST, HIGHLAND, CA, 92346",144662165,L,06,071,007409,1022,34.121258,-117.20972
2714581.0,"2128 S Mission St, Mount Pleasant, MI, 48858",False,,,,,,,,,,
660533.0,"112 S Adams St, New Lisbon, WI, 53950",False,,,,,,,,,,
2487212.0,"405 Water St, Prairie du Sac, WI, 53578",False,,,,,,,,,,
1483000.0,"617 N Federal Blvd, Riverton, WY, 82501",False,,,,,,,,,,
1407854.0,"101 N Jefferson St, Plentywood, MT, 59254",True,Exact,"101 N JEFFERSON ST, PLENTYWOOD, MT, 59254",199975714,L,30,091,090200,1084,48.774864,-104.56039
7462165.0,"950 Groveland Ln, Lincoln, CA, 95648",True,Exact,"950 GROVELAND LN, LINCOLN, CA, 95648",628946242,R,06,061,023200,1001,38.870842,-121.30269
662758.0,"1470 Webb St, Cumberland, WI, 54829",False,,,,,,,,,,
1397690.0,"86 Main St, Placerville, CA, 95667",True,Exact,"86 MAIN ST, PLACERVILLE, CA, 95667",133025783,L,06,017,031200,3017,38.727615,-120.806854
7160173.0,"806 N Church Ave, Louisville, MS, 39339",True,Non_Exact,"806 S CHURCH AVE, LOUISVILLE, MS, 39339",909787,L,28,159,950300,3017,33.11411,-89.055214
7529462.0,"500 N Holmen Dr Ste 524, Holmen, WI, 54636",True,Non_Exact,"500 HOLMEN DR N, HOLMEN, WI, 54636",636182171,R,55,063,010201,4023,43.970158,-91.264305
1864992.0,"572 W Ramsey St, Banning, CA, 92220",False,,,,,,,,,,
2259238.0,"302 Main St, Old Town, ME, 44681",False,,,,,,,,,,
658590.0,"355 E 21st St, San Bernardino, CA, 92404",True,Non_Exact,"355 E 21ST ST, SAN BERNARDINO, CA, 92404",144655187,R,06,071,006301,1007,34.134068,-117.277534
7474671.0,"46026 St Hwy 65, McGregor, MN, 55760",True,Non_Exact,"46026 STATE HWY 65, MCGREGOR, MN, 55760",162614490,R,27,001,770400,2077,46.68202,-93.316925
2601298.0,"4290 E Florida Ave, Hemet, CA, 92544",True,Exact,"4290 FLORIDA AVE, HEMET, CA, 92544",194758391,L,06,065,043311,1009,33.747765,-116.92606
7550310.0,"1451 Adams St S, Shakopee, MN, 55379",False,,,,,,,,,,
660793.0,"104 W Main St, Goldendale, WA, 98620",False,,,,,,,,,,
1733863.0,"9250 N Coachline Blvd, Tucson, AZ, 85743",True,Exact,"9250 N COACHLINE BLVD, TUCSON, AZ, 85743",121410280,R,04,019,004427,1058,32.374336,-111.12749
657975.0,"205 Main St W, Isle, MN, 56342",False,,,,,,,,,,
7319898.0,"1500 14th St W Ste 150, Williston, ND, 58801",False,,,,,,,,,,
119647.0,"72143 29 Palms Hwy, Twentynine Palms, CA, 92277",False,,,,,,,,,,
2955641.0,"213 H St E, Poplar, MT, 59255",False,,,,,,,,,,
769352.0,"824 N Beaver St, Flagstaff, AZ, 86001",True,Non_Exact,"824 N BEAVER ST, FLAGSTAFF, AZ, 86001",188860760,R,04,005,001200,2023,35.205544,-111.64667
7445739.0,"7190 State Highway 139, Long Lake, WI, 54542",False,,,,,,,,,,
1537299.0,"215 N 2nd St, El Cajon, CA, 92021",True,Non_Exact,"215 N 2ND ST, EL CAJON, CA, 92021",195743693,R,06,073,015701,2004,32.79703,-116.93573
7010537.0,"7001 State Route 155, Omak, WA, 98841",False,,,,,,,,,,
7497520.0,"333 S Palm Canyon Dr Ste 4, Palm Springs, CA, 92262",False,,,,,,,,,,
769911.0,"5620 N Us Highway 89, Flagstaff, AZ, 86004",True,Exact,"5620 US HWY 89, FLAGSTAFF, AZ, 86004",188864357,L,04,005,000500,2018,35.232243,-111.57683
621996.0,"1155 W Cleveland St, Saint Johns, AZ, 85936",True,Non_Exact,"1155 W CLEVELAND ST, SAINT JOHNS, AZ, 85936",172216258,L,04,001,970200,3049,34.506523,-109.38185
995778.0,"1699 Bienville Blvd, Ocean Springs, MS, 39564",True,Exact,"1699 BIENVILLE BLVD, OCEAN SPRINGS, MS, 39564",640016439,R,28,059,040500,1017,30.416286,-88.81587
1398528.0,"1295 N 2nd St, El Cajon, CA, 92021",True,Non_Exact,"1295 N 2ND ST, EL CAJON, CA, 92021",195333284,R,06,073,016401,2009,32.812904,-116.935715
1853503.0,"27343 County Highway 34, Richwood, MN, 56577",False,,,,,,,,,,
7545366.0,"10514 Main St, Hayward, WI, 54843",True,Exact,"10514 MAIN ST, HAYWARD, WI, 54843",635608321,R,55,113,100300,3052,46.013905,-91.48377
1416111.0,"626 Market St, Nekoosa, WI, 54457",True,Exact,"626 MARKET ST, NEKOOSA, WI, 54457",51288752,R,55,141,011700,4018,44.31546,-89.89549
1821994.0,"430 Old Whitetail Dr NW, Bemidji, MN, 56601",False,,,,,,,,,,
765771.0,"310 E Ramsey St, Banning, CA, 92220",False,,,,,,,,,,
7298950.0,"151 Old Highway 8, Lyle, WA, 98635",False,,,,,,,,,,
1975090.0,"N5983 State Highway 54, Black River Falls, WI, 54615",True,Exact,"N5983 STATE HWY 54, BLACK RIVER FALLS, WI, 54615",50692390,L,55,053,960400,1060,44.28,-90.86757
1926160.0,"1449 W Ramsey St, Banning, CA, 92220",False,,,,,,,,,,
7492787.0,"3965 E River Rd, Mount Pleasant, MI, 48858",False,,,,,,,,,,
7456660.0,"3699 Highway 95 Ste 100, Bullhead City, AZ, 86442",True,Non_Exact,"3699 STATE RTE 95, BULLHEAD CITY, AZ, 86442",190326100,L,04,015,951900,3011,35.05004,-114.58907
660671.0,"403 S Church Ave, Louisville, MS, 39339",True,Non_Exact,"403 N CHURCH AVE, LOUISVILLE, MS, 39339",608054255,L,28,159,950300,2055,33.129326,-89.05545
663652.0,"430 E Beacon St, Philadelphia, MS, 39350",True,Exact,"430 BEACON ST, PHILADELPHIA, MS, 39350",157763741,R,28,099,010400,1034,32.771698,-89.10775
7541906.0,"915 W Alameda St, Santa Fe, NM, 87501",False,,,,,,,,,,
1402881.0,"2609 S Michigan St, South Bend, IN, 46614",True,Non_Exact,"2609 S MICHIGAN ST, SOUTH BEND, IN, 46614",8056727,R,18,141,003300,4026,41.64747,-86.249664
1407146.0,"319 1st St N, Ulen, MN, 56585",False,,,,,,,,,,
2222404.0,"1204 Hwy 371, Gallup, NM, 87301",False,,,,,,,,,,
2608298.0,"2465 E Palm Canyon Dr, Palm Springs, CA, 92264",False,,,,,,,,,,
1425303.0,"901 Spruce St Ste 4, Dowagiac, MI, 49047",True,Exact,"901 SPRUCE ST, DOWAGIAC, MI, 49047",22571455,R,26,027,002200,1012,41.984352,-86.12184
7345758.0,"1600 S 92nd Pl Ste C, Seattle, WA, 98108",True,Non_Exact,"1600 S 92ND PL, SEATTLE, WA, 98108",239763136,L,53,033,026400,1011,47.52103,-122.31239
1407244.0,"400 W Henry St, Greenwood, MS, 38930",True,Non_Exact,"400 W HENRY ST, GREENWOOD, MS, 38930",1050184,L,28,083,950800,2002,33.514973,-90.183586
119917.0,"280 E 40th St, San Bernardino, CA, 92404",True,Non_Exact,"280 E 40TH ST, SAN BERNARDINO, CA, 92404",144654033,L,06,071,004505,3023,34.16497,-117.27954
1901388.0,"5048 State Highway 84 NE, Longville, MN, 56655",True,Non_Exact,"5048 STATE HWY 84, LONGVILLE, MN, 56655",162719870,L,27,021,960200,2168,46.987396,-94.2108
1424551.0,"824 Ashmun St, Sault Sainte Marie, MI, 49783",True,Exact,"824 ASHMUN ST, SAULT SAINTE MARIE, MI, 49783",130548931,L,26,033,970300,2035,46.49364,-84.35071
7465821.0,"10 4th St W, Hardin, MT, 59034",True,Exact,"10 4TH ST W, HARDIN, MT, 59034",612220639,R,30,003,000100,1100,45.73238,-107.606064
1406797.0,"406 Main Ave, Callaway, MN, 56521",True,Exact,"406 MAIN AVE, CALLAWAY, MN, 56521",167949342,R,27,005,940000,2175,46.980907,-95.9093
7526884.0,"3560 N Zaragoza Rd Ste 207, El Paso, TX, 79938",False,,,,,,,,,,
7180668.0,"68 Cities Of Gold Rd, Santa Fe, NM, 87506",True,Exact,"68 CITIES OF GOLD RD, SANTA FE, NM, 87506",169429077,R,35,049,940600,1056,35.883945,-106.01413
4040545.0,"1990 E Garrison St, Eagle Pass, TX, 78852",True,Non_Exact,"1990 E GARRISON ST, EAGLE PASS, TX, 78852",183358876,R,48,323,950601,1006,28.70612,-100.48777
1678933.0,"763 Wilson St, Wetumpka, AL, 36092",True,Exact,"763 WILSON ST, WETUMPKA, AL, 36092",1363499,L,01,051,030702,1032,32.5281,-86.20553
1407273.0,"108 Adams St, Macon, MS, 39341",False,,,,,,,,,,
1407020.0,"775 Hwy 59 S, Mahnomen, MN, 56557",False,,,,,,,,,,
1407803.0,"121 S 2nd St, Malta, MT, 59538",False,,,,,,,,,,
333018.0,"2200 Harvard Way, Reno, NV, 89502",True,Exact,"2200 HARVARD WAY, RENO, NV, 89502",107052431,L,32,031,002211,2002,39.503716,-119.7858
7412285.0,"5987 State Highway 70, Pine City, MN, 55063",False,,,,,,,,,,
803333.0,"1221 E Lynwood Dr, San Bernardino, CA, 92404",False,,,,,,,,,,
1415723.0,"522 Crossroads Sq, Sedro Woolley, WA, 98284",True,Exact,"522 CROSSROADS SQ, SEDRO WOOLLEY, WA, 98284",183676296,R,53,057,951500,2014,48.50631,-122.24861
7587081.0,"3 Water St, Howland, ME, 4448.",True,Exact,"3 WATER ST, HOWLAND, ME, 04448",123614921,R,23,019,028500,1127,45.241047,-68.658
1447945.0,"168 NW Birch St, Pilot Rock, OR, 97868",True,Non_Exact,"168 SW BIRCH ST, PILOT ROCK, OR, 97868",170412443,R,41,059,951400,1199,45.482037,-118.835144
7329318.0,"21509 State Route 410 E, Bonney Lake, WA, 98391",False,,,,,,,,,,
2269483.0,"3709 Beachview Dr, Ocean Springs, MS, 39564",True,Exact,"3709 BEACHVIEW DR, OCEAN SPRINGS, MS, 39564",89259482,L,28,059,040900,2016,30.394966,-88.759544
2626104.0,"1010 6th Ave N, Glasgow, MT, 59230",True,Exact,"1010 6TH AVE N, GLASGOW, MT, 59230",166992938,R,30,105,100500,1036,48.20236,-106.63986
802413.0,"7750 Palm Ave, Highland, CA, 92346",True,Exact,"7750 PALM AVE, HIGHLAND, CA, 92346",144662185,R,06,071,007604,1002,34.11377,-117.20879
1465936.0,"300 1st Ave, Poplar, MT, 59255",True,Non_Exact,"300 1ST AVE W, POPLAR, MT, 59255",642071801,L,30,085,940002,4064,48.11023,-105.19549
703955.0,"805 3rd St, Langdon, ND, 58249",True,Exact,"805 3RD ST, LANGDON, ND, 58249",181361496,R,38,019,950900,1034,48.760296,-98.36827
961207.0,"28420 Yosemite Springs Pkwy, Coarsegold, CA, 93614",True,Exact,"28420 YOSEMITE SPRINGS PKWY, COARSEGOLD, CA, 93614",102372356,L,06,039,000106,2024,37.16001,-119.746315
7577825.0,"6326 33rd Ave NE, Marysville, WA, 98271",True,Exact,"6326 33RD AVE NE, MARYSVILLE, WA, 98271",617670219,L,53,061,940001,3060,48.054024,-122.18724
1418075.0,"12559 Us Highway 101 N, Smith River, CA, 95567",False,,,,,,,,,,
1457102.0,"504 9th Ave SE, Watertown, SD, 57201",True,Non_Exact,"504 9TH ST SE, WATERTOWN, SD, 57201",200730264,R,46,029,954400,5026,44.89181,-97.102875
7539071.0,"15870 W 1st St, Hayward, WI, 54843",True,Non_Exact,"15870 N 1ST ST, HAYWARD, WI, 54843",194429261,L,55,113,100300,1039,46.02061,-91.491455
7521745.0,"300 1st St W, Fosston, MN, 56542",True,Non_Exact,"300 1ST ST E, FOSSTON, MN, 56542",171431238,L,27,119,021000,4040,47.575745,-95.750885
3639673.0,"10 Central Ave S, Laporte, MN, 56461",False,,,,,,,,,,
1407151.0,"16290 Hwy 13 S, Prior Lake, MN, 55372",False,,,,,,,,,,
1397574.0,"719 E Main St, Rangely, CO, 81648",False,,,,,,,,,,
626511.0,"100 N Church St, Bloomfield, NM, 87413",False,,,,,,,,,,
1415963.0,"2900 W Lisbon Ave, Milwaukee, WI, 53208",True,Non_Exact,"2900 W LISBON AVE, MILWAUKEE, WI, 53208",77739849,R,55,079,009700,1006,43.053795,-87.95007
803849.0,"27132 Baseline St, Highland, CA, 92346",True,Exact,"27132 BASELINE ST, HIGHLAND, CA, 92346",640889875,L,06,071,007409,1021,34.12126,-117.21174
699390.0,"123 S 27th St, Billings, MT, 59101",False,,,,,,,,,,
2907306.0,"1630 Commanche Ave, Green Bay, WI, 54313",True,Exact,"1630 COMMANCHE AVE, GREEN BAY, WI, 54313",148110500,R,55,009,021302,2009,44.492256,-88.10365
803346.0,"704 E Highland Ave, San Bernardino, CA, 92404",True,Non_Exact,"704 E HIGHLAND AVE, SAN BERNARDINO, CA, 92404",614816790,L,06,071,006201,3005,34.135906,-117.27225
1398106.0,"1031 Broadway, El Cajon, CA, 92021",True,Exact,"1031 BROADWAY, EL CAJON, CA, 92021",195662424,R,06,073,016302,3000,32.807697,-116.94689
7587139.0,"105 Main St, Mattawamkeag, ME, 4459.",True,Exact,"105 MAIN ST, MATTAWAMKEAG, ME, 04459",123655479,R,23,019,025500,1061,45.50361,-68.35614
1495811.0,"302 S Lake Ave, Duluth, MN, 55802",True,Non_Exact,"302 S LAKE AVE, DULUTH, MN, 55802",163214609,L,27,137,001900,2006,46.782917,-92.09557
5596246.0,"727 E Brundage Ln Ste A, Sheridan, WY, 82801",False,,,,,,,,,,
1407307.0,"801 W Park Ave Rear, Greenwood, MS, 38930",True,Non_Exact,"801 W PARK AVE, GREENWOOD, MS, 38930",1059015,R,28,083,950600,4001,33.52775,-90.20175
763036.0,"786 9th St, Arcata, CA, 95521",True,Exact,"786 9TH ST, ARCATA, CA, 95521",112992372,R,06,023,001000,5015,40.868984,-124.0866
3836491.0,"6 Amos Rd, Preston, CT, 63658",True,Non_Exact,"6 AMOS RD, PRESTON, CT, 06365",56835505,R,09,011,700100,2014,41.52482,-71.97765
1407825.0,"25 W Main St, Cut Bank, MT, 59427",False,,,,,,,,,,
1606106.0,"2929 W Valencia Rd, Tucson, AZ, 85746",True,Non_Exact,"2929 W VALENCIA RD, TUCSON, AZ, 85746",121162942,L,04,019,004321,1000,32.133762,-111.029976
373218.0,"366 S Palm Canyon Dr, Palm Springs, CA, 92262",False,,,,,,,,,,
1415974.0,"519 State Road 82 W, Mauston, WI, 53948",False,,,,,,,,,,
1955461.0,"109 N 1st St 101, La Conner, WA, 98257",False,,,,,,,,,,
626984.0,"119 N Main St, Plentywood, MT, 59254",False,,,,,,,,,,
7508888.0,"2220 Us Highway 41 S, Marquette, MI, 49855",False,,,,,,,,,,
1416257.0,"840 W Main St, Riverton, WY, 82501",False,,,,,,,,,,
659524.0,"1414 W Fair Ave, Marquette, MI, 49855",True,Non_Exact,"1414 W FAIR AVE, MARQUETTE, MI, 49855",182063867,R,26,103,000700,4011,46.556793,-87.4159
1407284.0,"6021 Washington Ave, Ocean Springs, MS, 39564",True,Exact,"6021 WASHINGTON AVE, OCEAN SPRINGS, MS, 39564",89270015,L,28,059,040400,3016,30.430279,-88.82937
925753.0,"4794 N Virginia St, Reno, NV, 89506",False,,,,,,,,,,
325842.0,"790 Jamacha Rd, El Cajon, CA, 92019",True,Exact,"790 JAMACHA RD, EL CAJON, CA, 92019",195333837,R,06,073,015404,4000,32.785637,-116.92791
1447562.0,"Main St, Eagle Butte, SD, 57625",False,,,,,,,,,,
3584925.0,"180 N State St, Saint Ignace, MI, 49781",True,Non_Exact,"180 N STATE ST, SAINT IGNACE, MI, 49781",130710134,L,26,097,950500,3016,45.86811,-84.724846
2479594.0,"4040 Westcliff Dr, Hood River, OR, 97031",True,Exact,"4040 WESTCLIFF DR, HOOD RIVER, OR, 97031",642053725,L,41,027,950200,5001,45.71038,-121.555435
2626128.0,"2000 Paul Bunyan Dr NW, Bemidji, MN, 56601",False,,,,,,,,,,
1906803.0,"545 Nichols Blvd, Sparks, NV, 89431",True,Exact,"545 NICHOLS BLVD, SPARKS, NV, 89431",640022339,R,32,031,003000,3012,39.536575,-119.737785
1867174.0,"31993 280th St, Aitkin, MN, 56431",True,Exact,"31993 280TH ST, AITKIN, MN, 56431",162601100,R,27,001,790501,2051,46.41803,-93.51484
1406884.0,"602 Main St, Tower, MN, 55790",True,Exact,"602 MAIN ST, TOWER, MN, 55790",163187390,L,27,137,015400,4107,47.80529,-92.27652
1411171.0,"519 3rd St, Langdon, ND, 58249",True,Exact,"519 3RD ST, LANGDON, ND, 58249",181361526,R,38,019,950900,1101,48.757736,-98.36827
769494.0,"900 W Broadway Ave, Bloomfield, NM, 87413",True,Non_Exact,"900 E BROADWAY AVE, BLOOMFIELD, NM, 87413",627781510,L,35,045,000705,2011,36.711277,-107.96753
2457492.0,"209 Main St, New Effington, SD, 57255",True,Exact,"209 MAIN ST, NEW EFFINGTON, SD, 57255",196102626,L,46,109,940700,3134,45.85668,-96.92011
666189.0,"134 La Rue Medecine St, Marksville, LA, 71351",True,Exact,"134 LA RUE MEDECINE ST, MARKSVILLE, LA, 71351",13154406,L,22,009,030400,5040,31.132187,-92.081024
1425823.0,"27364 State Highway 18, Garrison, MN, 56450",True,Exact,"27364 STATE HWY 18, GARRISON, MN, 56450",611819350,R,27,035,951600,2079,46.29684,-93.82538
662819.0,"301 Bridge St, Charlevoix, MI, 49720",False,,,,,,,,,,
7580353.0,"24136 St Hwy 35, Siren, WI, 54872",True,Non_Exact,"24136 STATE HWY 35, SIREN, WI, 54872",167461108,R,55,013,970800,2031,45.791367,-92.381035
7219899.0,"514 1st St W, Fosston, MN, 56542",False,,,,,,,,,,
3627704.0,"1270 Michigan Ave E, Battle Creek, MI, 49014",False,,,,,,,,,,
